	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0791941419401273	1.08241444371307	0.15283843781669	0.518155923807009	0.60434948430097	0.802226981658363	1.46046076078954
BRCA	-0.0915662884275394	0.912500825902254	0.173635550238267	-0.527347586953764	0.597952233832763	0.649283576902689	1.28242540993316
CESC	-0.258837926192635	0.7719481254773	0.25126415646127	-1.03014265877804	0.302943042539267	0.47174975057212	1.26317800423896
CHOL	0.371768484446136	1.45029717606861	0.477976968027041	0.777795813008931	0.436689396688581	0.568332207810589	3.70093735671862
COAD	-0.105957100545037	0.899463233730753	0.208632753010515	-0.507864172888025	0.611548601687999	0.59757840475313	1.35385432672656
ESCA	0.182501721605516	1.20021621725066	0.258475769923527	0.706068973735957	0.480145245161426	0.72317685188352	1.99193179980753
GBM	0.0502025333035714	1.05148403534701	0.184291135596908	0.272408833669446	0.785307681164018	0.732712809671509	1.50893864826153
HNSC	0.264909628341835	1.30331318788221	0.140670900836975	1.88318711805821	0.0596750141838908	0.989257842552988	1.71707030527453
KICH	-1.05182854261689	0.349298457687581	0.802042198522601	-1.31143790757444	0.189709858791598	0.0725265653364534	1.68227203338414
KIRC	0.338144763399848	1.4023434967243	0.15404551639884	2.19509643191663	0.0281566811191594	1.03688507569065	1.89661065523107
KIRP	-0.689461216018138	0.501846383031632	0.34031208765167	-2.0259674605618	0.0427681192562786	0.257570798427584	0.977788606858469
LIHC	-0.0256631760898547	0.974663324238956	0.181162622109392	-0.14165822834226	0.88734997106963	0.683358688715338	1.39014636281628
LUAD	0.31993543013595	1.37703884625418	0.148535689124556	2.15392968532744	0.0312456865601331	1.02922987564728	1.8423833479382
LUSC	-0.140527484828032	0.868899783043469	0.142742510483659	-0.984482368650223	0.324878396314567	0.656851269447788	1.14940302027231
PAAD	0.266150499515116	1.30493143545755	0.210792902035512	1.26261604136119	0.206727200107562	0.863297433472909	1.97249057534553
PCPG	0.74770343122803	2.11214375898349	0.869645565362344	0.859779502142916	0.389910600493418	0.384131415837762	11.6136068925356
PRAD	-0.0531376977555217	0.948249431673746	0.64164109676024	-0.0828152966258293	0.933998405961157	0.269622852679041	3.33494351734332
READ	0.308745910707031	1.3617163290033	0.394031033544796	0.783557345545805	0.433299892508231	0.629052396907205	2.94772163621175
SARC	0.410321598512549	1.50730245340135	0.203986233750062	2.01151612522688	0.0442709688202303	1.01057141370843	2.24819409614255
STAD	-0.252919602704298	0.776530310251141	0.173826667578173	-1.45501036307076	0.145666392573912	0.55232777661927	1.09174180308225
THCA	-2.40492593876002	0.0902721810318788	1.03303352651614	-2.32802312512599	0.019910875762474	0.0119188458636247	0.68371273204586
THYM	0.157477689588272	1.17055464213435	0.671893396985595	0.234378980794848	0.814690775131152	0.313671452664028	4.36825907676684
UCEC	-0.162252424599589	0.850226559351706	0.212554178358714	-0.763346201201305	0.445256955374326	0.560542082531769	1.28961807641993
