,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,I2,Tau2,H,Q,symbol
ENSG00000151090.16,-1.2402793180408,-1.24363005946896,-1.23692857661265,0,-1.64981774756744,-2.0102959246825,-1.28933957045238,2.95812397725761e-19,0.999896596027304,0.748841096886848,98.3402680751995,212757.783152246,THRB
ENSG00000170345.8,-2.07605463788565,-2.09693392154552,-2.05517535422577,0,-1.85364744050401,-2.26485403038609,-1.44244085062194,9.99415927374046e-19,0.996879514476862,0.910013878067375,17.9014790233971,7050.18492695276,FOS
ENSG00000266412.4,-0.47932965789839,-0.48065887605812,-0.47800043973866,0,-0.517650009099479,-0.636129787543895,-0.399170230655062,1.09702233461484e-17,0.999858701753091,0.0835528924073314,84.1262660610156,155699.030110113,NCOA4
ENSG00000120738.7,-2.0395275074562,-2.05532305981684,-2.02373195509556,0,-1.63604177267384,-2.01745894600419,-1.25462459934349,4.20548604343333e-17,0.9979708145271,0.822649334283957,22.1992922038982,10841.7886357892,EGR1
ENSG00000162772.15,-1.71758806666549,-1.73834380536114,-1.69683232796983,0,-1.35088159120874,-1.66706786810642,-1.03469531431106,5.57914766154251e-17,0.994833248535452,0.553871654443966,13.9120527075379,4257.99463182086,ATF3
ENSG00000075426.10,-0.328567485608624,-0.333325429962876,-0.323809541254372,0,-0.470266576301372,-0.583675519856763,-0.356857632745982,4.39052355588842e-16,0.997343083549887,0.0702085483037695,19.4004163843098,8280.27542946113,FOSL2
ENSG00000143437.19,-0.259223842532671,-0.259962826829008,-0.258484858236334,0,-0.284869197879095,-0.356009730129735,-0.213728665628455,4.21661123588659e-15,0.99988283254858,0.0302398200448618,92.3839459871381,187765.456475398,ARNT
ENSG00000185551.11,-0.454810418191363,-0.45786694197179,-0.451753894410937,0,-0.650443524720963,-0.816010114109353,-0.484876935332574,1.36174680576523e-14,0.999561569856247,0.152530160381729,47.7584031225052,50179.0315138578,NR2F2
ENSG00000172059.9,-0.635035010752066,-0.637410319805761,-0.63265970169837,0,-0.703772036987013,-0.884612631807773,-0.522931442166253,2.39286093064244e-14,0.999797178025031,0.186300991937171,70.2170365257483,108469.508806082,KLF11
ENSG00000136826.13,-1.53725103527128,-1.54695437808795,-1.52754769245462,0,-1.38106417699212,-1.86053870494261,-0.901589649041638,1.64776567569862e-08,0.999544033274438,1.31880540626897,46.8309992453306,48249.1347869553,KLF4
ENSG00000165030.3,-0.612489682752555,-0.618636452863887,-0.606342912641223,0,-0.682851942980626,-0.952259058551139,-0.413444827410113,6.77108580330767e-07,0.999346919128008,0.41175819877036,39.1306009839615,33686.4865340521,NFIL3
ENSG00000177606.6,-0.803995898208133,-0.811929878946038,-0.796061917470228,0,-0.81438960699284,-1.14335126295232,-0.485427951033358,1.22124575385089e-06,0.999327293997919,0.62012404103382,38.5555895881301,32703.7367467431,JUN
ENSG00000171940.12,0.600811621886139,0.59835411383144,0.603269129940837,0,0.448274804788354,0.262685703791836,0.633863905784872,2.19999371162781e-06,0.999799736345261,0.20546400425685,70.6641161361706,109855.180804737,ZNF217
ENSG00000120690.12,-0.321053330973993,-0.322653348618365,-0.31945331332962,0,-0.226384350933118,-0.3363536993972,-0.116415002469036,5.46470332069964e-05,0.999758355358729,0.0696472024512729,64.3296836468554,91042.7803582988,ELF1
ENSG00000067082.13,-1.01120545163326,-1.01734043033516,-1.00507047293136,0,-0.732495047214198,-1.0987538280068,-0.366236266421592,8.86197291439672e-05,0.999681109469225,0.794716500455229,55.9988603084596,68989.1918286203,KLF6
ENSG00000131196.16,-0.147297585210045,-0.150529088691779,-0.14406608172831,0,-0.54803001712818,-0.830302130219955,-0.265757904036405,0.000141654672447099,0.99982747031498,0.45734937840288,76.1321483651728,127514.288323327,NFATC1
ENSG00000114861.17,-0.37479414056691,-0.37650006936332,-0.3730882117705,0,-0.324351397556217,-0.50733204521832,-0.141370749894113,0.000512319571508363,0.999894392362977,0.192097172927038,97.3088493816756,208318.267695684,FOXP1
ENSG00000102349.13,-0.438506256892029,-0.442663883294598,-0.43434863048946,0,-0.766666363157994,-1.2128840864301,-0.320448639885891,0.000758528557711837,0.999894471853988,1.1307814123709,97.3454923199085,208475.187250118,KLF8
ENSG00000177374.11,-0.752362401147825,-0.758593486595515,-0.746131315700135,0,-0.618735584220234,-1.01648088962434,-0.220990278816123,0.00229654398660355,0.999702448304039,0.894936738097857,57.9720669408514,73936.7319986801,HIC1
ENSG00000152804.9,-0.0218628780573394,-0.0272406019686375,-0.0164851541460413,1.61081151799379e-15,-0.50295850374403,-0.853405004636379,-0.15251200285168,0.00490927387867313,0.999727454589747,0.692797167873931,60.5732064373813,80720.4934383233,HHEX
ENSG00000168310.9,-0.0813128205285656,-0.0819721213947903,-0.080653519662341,0,-0.146124913985149,-0.272492878536763,-0.0197569494335355,0.0234272841843667,0.999963878578067,0.094463214670403,166.386306383886,609056.864945595,IRF2
ENSG00000123268.7,-0.169138580424821,-0.170291996201759,-0.167985164647883,0,-0.0817974659516605,-0.152577557583831,-0.0110173743194899,0.0235099228446945,0.999698044641689,0.0292529648495517,57.5477872836238,72858.4520673068,ATF1
ENSG00000144802.10,-0.583611090551468,-0.593788015553947,-0.57343416554899,0,-0.323185157329965,-0.620127227048774,-0.0262430876111554,0.0329098569676919,0.998588425848928,0.500731903799144,26.6163287188395,15585.436998325,NFKBIZ
ENSG00000180884.9,0.0530192980706388,0.0504365312822714,0.0556020648590062,0,0.16904017198848,-0.0159040929733986,0.353984436950359,0.0732261005339529,0.999747491054878,0.202054513053529,62.9305628664887,87125.6263392479,ZNF792
ENSG00000136603.12,0.204597651877496,0.201445162365507,0.207750141389485,0,0.142068525957697,-0.0180572042080672,0.302194256123461,0.0820451448635723,0.999582475450057,0.151272184034379,48.939439569577,52691.5123984541,SKIL
ENSG00000084093.14,-0.0712289068818382,-0.0724649235031634,-0.0699928902605129,0,-0.111119365854683,-0.254554915149376,0.0323161834400102,0.128918128703624,0.999919226380121,0.122483702952285,111.266704901729,272366.151633147,REST
ENSG00000186660.14,-0.0914466703380555,-0.0921479220642427,-0.0907454186118682,0,-0.0811877507568278,-0.186340358872645,0.0239648573589894,0.130209205893954,0.999950296781258,0.0659862700197442,141.842946047528,442627.269555725,ZFP91
ENSG00000030419.15,0.0907114355409958,0.0864216940373636,0.095001177044628,0,-0.172413020925259,-0.415297074766433,0.0704710329159153,0.164136062051884,0.999636144846517,0.331572984908348,52.424673548933,60463.6207276682,IKZF2
ENSG00000132274.14,-0.704039431310753,-0.707325019057012,-0.700753843564495,0,-0.228551239261905,-0.559834237433351,0.10273175890954,0.17631971618364,0.999876372676203,0.64644183205272,89.9379047988497,177954.187831353,TRIM22
ENSG00000185591.8,-0.0304457620541641,-0.0313132342229843,-0.0295782898853439,0,0.0705482705185213,-0.0343135319143595,0.175410072951402,0.187298737498076,0.999921975708018,0.0645247112563944,113.210075958821,281963.468569244,SP1
ENSG00000156273.14,-0.0958976835669496,-0.0981378732728508,-0.0936574938610484,0,-0.0875555666021857,-0.222139140469773,0.0470280072654015,0.202278471915714,0.999687864541477,0.107918335671575,56.6015659179459,70482.2198159985,BACH1
ENSG00000185811.15,-0.476735566375334,-0.483489257630616,-0.469981875120052,0,-0.225158471863345,-0.634394130881158,0.184077187154469,0.280874078382544,0.999656202327391,0.962140812982789,53.9322493579208,63991.1254577089,IKZF1
