	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.580686528592376	1.78726501819537	0.209416953939366	2.77287257630777	0.00555638731225327	1.18558561349457	2.6942940340255
BRCA	0.472263231644852	1.60361945155928	0.178993841699428	2.63843284864455	0.0083290194280929	1.12912359082086	2.27751449560077
CESC	0.320148980892154	1.37733294534254	0.29855203535795	1.07233896599737	0.283567810936445	0.767204219222134	2.47267415219558
CHOL	0.324861921626405	1.38383955447325	0.582482538315552	0.55771958858347	0.57703587936954	0.441850859806726	4.334068543767
COAD	-0.093977093867545	0.910303613537101	0.228998373640129	-0.410383237110801	0.681524840947639	0.581115551130148	1.42596884080481
ESCA	-0.0189643130509635	0.981214378165504	0.316191454696614	-0.0599773104847498	0.952173705760801	0.527984592551322	1.82350331714487
GBM	-0.110211882701575	0.895644343647272	0.18694218216593	-0.589550637660528	0.55549195381158	0.620883492769103	1.29199567978476
HNSC	0.239409900451729	1.27049920806412	0.15142043256923	1.58109375590556	0.113856602229831	0.944245867482047	1.7094787420102
KICH	1.95428229301121	7.05885101853856	0.711727742587134	2.74582846230974	0.00603583136457673	1.74948516065842	28.4811662438852
KIRC	0.463491860025242	1.58961501824577	0.155792626603887	2.97505645888941	0.00292934628188995	1.17133476438486	2.15726194002236
KIRP	1.11229446047957	3.04132860322893	0.326545951174013	3.40624177540892	0.000658638234180687	1.60364017885354	5.7679271165625
LIHC	0.875605740238671	2.40032882944823	0.181722779013065	4.81835983905859	1.44743151064658e-06	1.6810786453672	3.42731049814853
LUAD	0.252785522977133	1.28760708508307	0.154706229160283	1.63397120044361	0.102264897910138	0.950817522583093	1.74369105130919
LUSC	-0.0540651652715356	0.947370368842914	0.144170157326127	-0.375009407454797	0.70765347024692	0.714170548817297	1.25671748470709
PAAD	0.182473912790341	1.20018284112378	0.215057144590488	0.848490354216354	0.396164942084817	0.787390988453419	1.82938193762826
PCPG	0.916193503551132	2.49975694100874	0.845769571039531	1.08326609861956	0.278690328317949	0.476406215438285	13.1165055400728
PRAD	0.641135015091954	1.89863463576639	0.633634941399549	1.01183658476258	0.311616194336679	0.548391051225147	6.57343600352041
READ	-0.393088077867909	0.674969295111531	0.413567414747346	-0.950481260976646	0.341867771099598	0.300092260695986	1.51814494744633
SARC	0.178876088080365	1.19587255212312	0.230121000281429	0.777313186808705	0.436974016867194	0.761737870415201	1.87743214098303
STAD	-0.334587513462748	0.715633214546783	0.187458512425514	-1.78486166956912	0.0742837573250779	0.49559340004703	1.0333690838376
THCA	0.980240381199161	2.66509680410243	0.501576181312939	1.95432003695482	0.0506633806810819	0.997173133455894	7.12287639621927
THYM	1.22659638804311	3.40960479281293	0.718070176834227	1.70818455857731	0.0876021027714226	0.834606187664209	13.9292099855006
UCEC	-0.228372151465078	0.79582803614923	0.249434686498488	-0.915558917129446	0.359898287407652	0.488090151506456	1.29759279339354
