	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.248569390687661	0.779915740067895	0.160552846627908	-1.54820917790226	0.12157194242188	0.569357249028442	1.06834252596873
BRCA	-0.122745687361718	0.884488570583048	0.163954833410377	-0.748655497422801	0.454064873025805	0.64140688596995	1.21969384583235
CESC	0.478800563172791	1.61413718505643	0.239666299598302	1.99778009663977	0.0457405060750137	1.00910444324236	2.58193180064726
CHOL	-0.254302124587506	0.775457481879475	0.485007118228802	-0.524326582084387	0.60005141126015	0.299722387256681	2.00630427278652
COAD	-0.505263378850648	0.603346645752501	0.206543487261081	-2.4462808561568	0.0144338513811594	0.402491550406129	0.904434328058507
ESCA	0.429498137944766	1.53648622588679	0.252432734998919	1.70143598034782	0.0888611497739088	0.936822985163267	2.51999572996003
GBM	0.155035769067783	1.16769972788886	0.183204450844162	0.84624455548659	0.39741633094903	0.815431093590969	1.67214944981688
HNSC	-0.0737939565364988	0.928863060287767	0.137601000300852	-0.536289390158177	0.591758562144831	0.709292729294659	1.21640410106154
KICH	0.596734763722256	1.81617885492136	0.673842309749722	0.885570340550291	0.37584909990865	0.484822761690973	6.80352882269569
KIRC	-0.341668435390639	0.710583770084595	0.155530086636872	-2.19679962108141	0.0280347601557764	0.523875193323321	0.963835090385751
KIRP	-0.288125707038193	0.749667347853646	0.318405418602052	-0.904902021778393	0.365517295855555	0.401644118433774	1.39925149316132
LIHC	0.15611452699176	1.16896007290451	0.175521163251716	0.889434208955618	0.373769766781002	0.828697049519143	1.64893509979046
LUAD	-0.210668294256864	0.810042718144023	0.152504527610866	-1.38139042530206	0.167158948242187	0.600752840660362	1.09224486478812
LUSC	0.109324075121981	1.11552380528228	0.139147358768269	0.785671219990928	0.432060128205605	0.849251643583773	1.46528225120674
PAAD	0.11649666588592	1.12355376440453	0.210676397126372	0.552964961784688	0.58028740295322	0.743473998926931	1.69793841254651
PCPG	-0.800670282282245	0.449027887788011	0.868069173689032	-0.922357695158829	0.35634202873324	0.0819165200212835	2.46135997914678
PRAD	-0.158692829065856	0.85325841490346	0.636737667616048	-0.249227958603429	0.803184453782533	0.244956233004547	2.97216328677805
READ	-0.256773989028712	0.773543023220289	0.395551036583282	-0.649155141259878	0.516238103462588	0.356279488966243	1.67949272215746
SARC	0.392763133826323	1.48106753297841	0.205504963178815	1.91120996666426	0.0559776035811487	0.990030832253171	2.21564921594464
STAD	-0.055898089893558	0.945635500794575	0.166422411769808	-0.33588078251669	0.736960769362862	0.682440439964264	1.310336328266
THCA	-0.375665872005412	0.686831784433852	0.516752895595327	-0.726973908046755	0.467241939623589	0.249453454506315	1.89108585825035
THYM	0.13547770779316	1.14508366910791	0.680313274899132	0.199140179666856	0.842153091779926	0.301823820032575	4.34431122472747
UCEC	0.276227023097965	1.31814707989521	0.20997123041563	1.31554700399281	0.188326131081351	0.873445952201591	1.98926072054801
