	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.257910315162252	1.29422274126257	0.149682452051932	1.72304977388245	0.0848795244332102	0.965159506128701	1.73547739349296
BRCA	0.119145179228363	1.12653345567477	0.162583964695839	0.732822449318779	0.463666727245865	0.819129132973816	1.54930105116296
CESC	0.319612285914198	1.37659393599684	0.238159323524214	1.34201038693202	0.179592627829433	0.863146012207784	2.19546963992357
CHOL	0.587399809503411	1.79930379495635	0.500690265581073	1.17318000744773	0.240723627584931	0.67439783777537	4.8005701756456
COAD	-0.158753190377605	0.853206912660663	0.202685976029102	-0.783247038042783	0.433482057513702	0.57349250947751	1.26934881237623
ESCA	-0.0986701745844624	0.906041494259531	0.260879667134866	-0.37822102300312	0.705266409335551	0.543359059353159	1.51080795505148
GBM	-0.18414487581936	0.831815285175767	0.186408353022774	-0.987857426093256	0.323222478467598	0.577239203555296	1.19866541355894
HNSC	0.166128230033357	1.18072449635795	0.136465738026394	1.21736219241511	0.223466441213825	0.903626017518127	1.54279570228485
KICH	0.659186864718386	1.93321972595069	0.707359711040386	0.931897667381781	0.351389413237906	0.483254092109833	7.73369241942279
KIRC	0.150956712237735	1.16294631564858	0.152539279575719	0.989625181511372	0.32235735705629	0.862418366615438	1.5681995948072
KIRP	0.24717770781875	1.28040663083128	0.305068576031855	0.810236541022632	0.417804239701904	0.704162789817559	2.3282132540708
LIHC	-0.541874762774803	0.581656761106648	0.184161631753735	-2.94238684580842	0.00325692788267529	0.405422750315261	0.834498279827639
LUAD	0.153351963080468	1.16573520249961	0.149067667558583	1.02874060882586	0.303601581911204	0.870388777384307	1.56130064823526
LUSC	-0.0837576994534293	0.919654061782891	0.139363478445798	-0.601001786031083	0.547838796716371	0.699838910718305	1.2085118166489
PAAD	0.474621419520969	1.60740554991892	0.210537427833759	2.25433275405897	0.0241752422496023	1.06393643071829	2.42848400271978
PCPG	1.61713989009786	5.03865857094026	1.09744196726872	1.47355389927593	0.140601741552152	0.586368503858212	43.2971416906949
PRAD	-1.23100652430338	0.29199852610758	0.794669934180346	-1.54907902181185	0.121362725169173	0.0615115095273249	1.38613309775991
READ	0.0887355741668164	1.09279165577433	0.396672206341635	0.223700004054211	0.822990742792223	0.502214648547869	2.37785497970433
SARC	0.259203182192855	1.29589708129129	0.203043904176795	1.27658687042957	0.201748139635618	0.870440775370871	1.9293090268936
STAD	0.156714877817177	1.16966206975026	0.165983483003846	0.944159472864816	0.345088161630102	0.844841054164399	1.61936893415486
THCA	0.0345562207635387	1.03516022423838	0.504600268761718	0.0684823669403491	0.945401656262795	0.385026878595057	2.78306983074874
THYM	0.165139301018955	1.17955742081804	0.672136058474028	0.245693262453254	0.80591968814613	0.315933615087832	4.40394957219125
UCEC	-0.045906044701793	0.955131697658568	0.211098612132231	-0.217462560450363	0.827847881268851	0.631503546213512	1.44461035150497
