	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.132281707465025	0.876094158048701	0.160113310404195	-0.826175582349079	0.408704497372893	0.640121018368753	1.19905604056405
BRCA	-0.313129908908349	0.731154922861148	0.174892006652227	-1.79041864120759	0.0733866357578209	0.518968576895126	1.03009612724996
CESC	-0.529804590767036	0.588719999762603	0.273141570884579	-1.93967029277618	0.0524197721280795	0.344675380019197	1.00555844197858
CHOL	0.491143306619166	1.63418352514201	0.480888384412775	1.02132495302192	0.307100507956043	0.636748444873134	4.19405153691056
COAD	-0.0962779499028306	0.908211543672679	0.20782281789326	-0.463269389178814	0.643171284350977	0.604349148191893	1.36485376132011
ESCA	0.217453192172637	1.24290725035812	0.271533515466723	0.800833708497714	0.423227921653103	0.729976659427615	2.11625729814991
GBM	-0.0713376992395548	0.931147391261287	0.190589678345232	-0.374299908887692	0.708181199856725	0.64089694666397	1.3528469261179
HNSC	-0.177068666250193	0.837722259301746	0.149498022896968	-1.18442145801638	0.236246270190254	0.624952640767871	1.12293082379387
KICH	0.905977027652697	2.47434824911836	0.672589912836923	1.34699764352898	0.177980991624422	0.66214217656953	9.24635142505861
KIRC	0.115595252299898	1.12254143410936	0.161910175826495	0.713946802353988	0.475260075215	0.817305061889238	1.54177348220446
KIRP	0.0717041225921567	1.07433742486116	0.318829927879615	0.224897716061432	0.822058846106404	0.575111667181843	2.00691616658225
LIHC	-0.189180736497174	0.827636908980397	0.234092805080406	-0.808144173556272	0.419007590805539	0.523093945210526	1.3094834290826
LUAD	-0.110939273582732	0.894993097003093	0.150543008297252	-0.736927439125428	0.461166476582156	0.666311401452675	1.20215959375277
LUSC	0.0135003467790876	1.01359188794262	0.140251895334546	0.0962578562441879	0.92331578145128	0.769981864630183	1.3342762505147
PAAD	-0.088173189524719	0.915602290265483	0.215932475285044	-0.408336862754549	0.683026379520228	0.599659632332318	1.39800564976969
PCPG	1.40609588054373	4.07999547988336	0.867675998465021	1.62053103120429	0.105118254011336	0.744890667282616	22.3473911635852
PRAD	-0.482888262051459	0.616998761697846	0.701984049209061	-0.687890647366616	0.491521646645309	0.155867075323031	2.44238541813729
READ	0.453406409090949	1.57366360776836	0.400127691257532	1.13315428798735	0.257149466788213	0.718327665792914	3.4474756693117
SARC	-0.66083767269392	0.516418563527495	0.239092845574693	-2.76393746163965	0.00571084835311248	0.323210637770971	0.825121767634327
STAD	0.143302550411381	1.15407891590179	0.168466546387218	0.850629121831713	0.394975407051381	0.829538453395856	1.60558939573772
THCA	0.407552985991393	1.50313508852696	0.500994133775351	0.813488539117591	0.41593801463265	0.563055277022213	4.01277669629552
THYM	1.84634178608213	6.33659644569927	0.732438184951763	2.52081585042391	0.0117083107583164	1.50800762007749	26.6261615532057
UCEC	-0.206180768693581	0.813685974037069	0.225582526722916	-0.913992638032793	0.360720714101264	0.522926480941444	1.26611462313532
