	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.206521474219529	1.22939413421313	0.150002850256646	1.37678366688488	0.168579142055959	0.916238378284878	1.64958156420699
BRCA	-0.0122956695136572	0.987779613363716	0.165237310735512	-0.0744121860790772	0.94068241259807	0.71451245681212	1.36555850814723
CESC	-0.30686511547101	0.735749835484512	0.248733500550866	-1.23371043623557	0.217310823662169	0.451864095380068	1.19798812508033
CHOL	-0.0912065818605761	0.91282911748247	0.535650113539246	-0.170272682774095	0.864795693519517	0.319479709982788	2.60816875590852
COAD	0.242451952122308	1.27437001691768	0.204338162219068	1.1865231119304	0.23541577981111	0.853812651842253	1.90207879505494
ESCA	0.229196215076644	1.25758877268003	0.255809443333863	0.895964637151862	0.370271650313995	0.761716316428909	2.07627103038231
GBM	-0.0208067191429634	0.979408247141918	0.184914410932577	-0.112520809157216	0.910410471193588	0.681654529277153	1.40722385514963
HNSC	0.0369755622452274	1.03766766226044	0.136990894147699	0.269912554956839	0.787227528084052	0.793325514667678	1.35726654115252
KICH	-0.20426097955102	0.815249579952075	0.707374403428543	-0.288759359344918	0.772765534375298	0.203785087345517	3.26143530063685
KIRC	0.119333966349051	1.12674615075864	0.152766008062041	0.781155231212083	0.434711200876671	0.835201799306086	1.52006004932485
KIRP	0.467248223740752	1.59559741942486	0.307170463465643	1.52113656524471	0.128225570183263	0.873895197567628	2.91331401289485
LIHC	0.376823088785845	1.45764641256283	0.178167780031612	2.11499008810116	0.0344307921131416	1.02800564341214	2.06684961086876
LUAD	-0.0663201335789649	0.935831225332459	0.155546919893825	-0.426367385636659	0.669840162740367	0.689915264173986	1.26940238574921
LUSC	-0.0388576713030937	0.961887603613323	0.13958496276505	-0.278380067117251	0.780720619143471	0.731660133669788	1.26455948521387
PAAD	-0.28104888505469	0.754991426780885	0.221503469505223	-1.26882385040051	0.204503896624302	0.489100295270362	1.16542979021828
PCPG	-0.815154157279159	0.44257109654627	1.11816240420666	-0.729012310029788	0.465994132459804	0.0494540067260522	3.96063309052337
PRAD	1.75828442468735	5.80247426899204	0.802281965456655	2.1916040748673	0.0284081074623092	1.20423037138847	27.9586933216896
READ	-0.172372200985233	0.841665846004658	0.404864722952863	-0.425752581573528	0.67028814279036	0.380643332838997	1.86106345551144
SARC	0.475814725201637	1.60932482100357	0.20297013653549	2.34425976807893	0.0190648878609895	1.08112327237483	2.39558840853464
STAD	-0.270677580524095	0.762862418459052	0.172011248008129	-1.5736039570581	0.115579037869859	0.54454024278858	1.0687163661532
THCA	-1.14078535400444	0.319567949270145	0.577873486534509	-1.97410917888913	0.0483693298666133	0.102961867758867	0.991859184605078
THYM	-2.57195858780951	0.0763857905395682	1.06721309698089	-2.40997659706902	0.0159535438372457	0.00943189902178958	0.618622928731028
UCEC	-0.756433642217232	0.469337270453433	0.229568688440198	-3.29502096891703	0.000984143359061868	0.299278708730534	0.736027879734718
