	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.243917126729891	1.27623856004383	0.158705257314109	1.53691900859422	0.124313144002911	0.935064786459475	1.74189519884497
BRCA	0.0303930410769321	1.03085962451667	0.171089864415982	0.177643726474851	0.859002781906362	0.737169865271937	1.44155589575904
CESC	0.154648912029202	1.16724808239693	0.249302602733349	0.620326103031556	0.535043112869226	0.716071533004989	1.90269829627456
CHOL	0.407589500018619	1.50318997504456	0.588541653511511	0.69254146683884	0.488597354331617	0.474292554417836	4.76410620412957
COAD	-0.136133098347641	0.872726466307519	0.209801195048777	-0.648867125451745	0.516424265281144	0.578488920553595	1.31662242427173
ESCA	-0.166410373602364	0.846698700089194	0.284404735111007	-0.585118154018821	0.558468272904434	0.484889906144564	1.47847723709678
GBM	-0.0624092748380736	0.939498295082013	0.187386298550363	-0.333051430765629	0.739095460959576	0.650717504903647	1.35643661006585
HNSC	-0.274468843525899	0.759975682042718	0.145909825670009	-1.8810854050819	0.0599603020297195	0.570953877908336	1.01157564497534
KICH	-0.0614561289581793	0.940394200907784	0.707598738183312	-0.0868516655583102	0.930789419566481	0.234963717281827	3.76373536872617
KIRC	-0.0605182906946107	0.941276552258991	0.162581485691278	-0.372233593740971	0.709718936093823	0.68442778019661	1.29451429861316
KIRP	-0.493649461001307	0.610394712744559	0.333003566494202	-1.48241493686796	0.138229921962882	0.317802722549025	1.17236788394422
LIHC	-0.127312692896197	0.880458316487488	0.183900780774952	-0.692290116223025	0.488755155793413	0.614005373070643	1.26254081978985
LUAD	-0.0944062472922076	0.909913037438398	0.154858870389714	-0.609627637439349	0.542108499469075	0.671713038338544	1.23258249943793
LUSC	-0.0708055527803188	0.931643029913054	0.156102729732949	-0.453583053297329	0.650128953179285	0.686079834678424	1.26509874115802
PAAD	-0.191168146345655	0.825993688653518	0.215322350916404	-0.887823050101632	0.374635941972832	0.541619150326556	1.25967771502188
PCPG	-0.436128340282927	0.646534744158613	0.866557405051202	-0.503288458145664	0.614761480003663	0.118297854445247	3.53351442732813
PRAD	-0.511503295572353	0.59959353465679	0.692346609622847	-0.738796562968644	0.460030539193935	0.154358460584839	2.32907483943601
READ	0.691061375991243	1.99583273842005	0.402793164788791	1.71567304612433	0.0862219007319392	0.906287476568222	4.39523707734852
SARC	0.591251827664384	1.8062481120828	0.205928580256666	2.87114992453916	0.00408981502258588	1.20639820089979	2.70435768220586
STAD	0.327824553273704	1.3879454404428	0.167910072698125	1.9523817005492	0.0508929040021519	0.998727668245143	1.9288466785253
THCA	-0.734793436501796	0.479604517530496	0.541032763760968	-1.35813112572686	0.17442208024382	0.166094534475316	1.3848769555379
THYM	-0.220905736762895	0.801792256261682	0.837172730283842	-0.263871156777882	0.791879201714119	0.155402906642816	4.13680050192883
UCEC	0.236728835007653	1.26709747870783	0.212728000630722	1.11282404904747	0.265784004624813	0.835094501795842	1.92258003985787
