	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0520470890084253	0.949284164940373	0.156278959529184	-0.333039643757712	0.739104358250887	0.698829685301761	1.2894993512152
BRCA	0.1005492936628	1.10577814821582	0.163379681649044	0.615433281837271	0.538268617594603	0.802784477116961	1.52313023971622
CESC	-0.063105757435355	0.938844178686097	0.239453026620419	-0.263541281252586	0.792133409896094	0.587179293392065	1.50112308416202
CHOL	0.570783593755566	1.76965319747018	0.49725166195091	1.14787669389814	0.251019470673841	0.667769813819477	4.68974843502438
COAD	0.0935295371505032	1.09804303592473	0.202535098812135	0.461794215911477	0.644228899161771	0.738280118432307	1.63311794350228
ESCA	0.0582444537209322	1.05997407864972	0.253734321837518	0.229548975870241	0.81844225941707	0.644638439210353	1.74290730907329
GBM	0.24510095081805	1.27775029663199	0.18424952799075	1.33026637023653	0.18343052333196	0.890456088782388	1.83349391520882
HNSC	-0.165166455564849	0.847752579208307	0.1368286014988	-1.20710475555286	0.227391803691455	0.648336396741647	1.10850545976786
KICH	0.369138004903494	1.44648721222907	0.671301307197423	0.549884233720007	0.582398778773095	0.388062690103682	5.39171971050143
KIRC	-0.0904230916085931	0.913544590444189	0.156702968751265	-0.577034961935673	0.563915837880011	0.671960804611128	1.24198273619964
KIRP	-0.754500650390691	0.470245372955711	0.333483493645178	-2.2624827458281	0.0236675936833933	0.244603612366365	0.90403697904121
LIHC	0.0178399471609446	1.0180000295552	0.178267788776577	0.10007386799027	0.920285681488761	0.717804164561269	1.44374205575668
LUAD	-0.251384851188491	0.777723006333817	0.154184714700606	-1.63041357035052	0.103014118484091	0.57488725310474	1.05212469282339
LUSC	0.213160416549623	1.23758316414186	0.138058773825921	1.54398312140884	0.122592421618111	0.944188162611428	1.62214709823438
PAAD	-0.336904134064451	0.713977282722169	0.212177144072111	-1.58784366496115	0.112321694912984	0.471062878070248	1.08215608568356
PCPG	1.98565241468184	7.2837978923192	1.09555762259618	1.81245821646183	0.0699154245214859	0.850780539926097	62.3588684113087
PRAD	-0.105867602474745	0.899543737556885	0.702571958695933	-0.150685778395212	0.880223592324049	0.226982277311435	3.56494324298086
READ	-0.028176184443101	0.972217062189411	0.407203103837845	-0.0691944245452542	0.944834861040868	0.43767458456125	2.15960910081114
SARC	-0.367975408036356	0.692134202418585	0.215157474656367	-1.71026086183647	0.0872176456872169	0.453991724369734	1.05519490431828
STAD	-0.221177676687602	0.801574246579996	0.170491826298462	-1.29729196694983	0.194530747313051	0.573879683138501	1.11960972248816
THCA	-0.507160782735087	0.60220293886326	0.540484823613728	-0.938344169118692	0.348067567806317	0.208776375985102	1.7370182706947
THYM	0.16741389390231	1.18224348742884	0.672119118067366	0.249083665978282	0.803296064010459	0.316663567219786	4.4138316126459
UCEC	-0.429567293927593	0.650790634866431	0.222059044860251	-1.93447330280076	0.0530549614224369	0.421137866811995	1.00567648698027
