	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.318771837412359	1.37543746573062	0.149874712408319	2.1269220957295	0.0334265566340584	1.02533849684653	1.8450767507061
BRCA	0.0575001119929399	1.05918538927601	0.166429479711435	0.345492349628424	0.729724260727869	0.76437583953912	1.467699043879
CESC	-0.503957178141639	0.604135252496181	0.257213429977347	-1.95929574200703	0.0500781621316854	0.364916675691598	1.00017189572635
CHOL	0.0755314564476917	1.07845715161546	0.49457123768008	0.152721085848001	0.878618231726046	0.409093984986422	2.8430382028451
COAD	-0.348366975482477	0.705839802778316	0.212787119334922	-1.63716195120887	0.10159663487337	0.465137570899709	1.07110209614427
ESCA	-0.356727973857205	0.699962880041312	0.258029408008011	-1.38250898070552	0.166815474894787	0.422123936149804	1.16067342189725
GBM	0.191660071305244	1.21125870538485	0.185591992796426	1.03269579908802	0.301746280095267	0.841900409368713	1.74266176265515
HNSC	-0.237809022797914	0.788353234213086	0.142890292479719	-1.66427696851182	0.0960570928197843	0.595788911612424	1.04315607387224
KICH	-0.0298283420648026	0.970612132523628	0.67095899186863	-0.0444562818686284	0.964540699513936	0.260569984012395	3.6154890033583
KIRC	-0.403595808861014	0.66791403165076	0.155100335222768	-2.60215948780082	0.00926387596321714	0.49283202657269	0.905195136725095
KIRP	-0.732600959873356	0.480657192787345	0.324639938610929	-2.2566569073664	0.0240295214900642	0.254390816331388	0.908174832369942
LIHC	0.139491889442477	1.14968948105758	0.179333900461987	0.77783335489346	0.436667261510435	0.808967855228748	1.63391647061265
LUAD	-0.420510314465604	0.656711604858122	0.15254097824155	-2.75670393171153	0.00583871914731737	0.487002930732935	0.88555962344266
LUSC	0.200072868980757	1.22149176377709	0.138695592766452	1.44253227510738	0.149152273373174	0.930749133075085	1.60305508321638
PAAD	-0.0558152264048785	0.945713862697816	0.212224667009149	-0.263000654878975	0.792550074359245	0.623898283960157	1.43352647874239
PCPG	0.1054663773349	1.11122874142291	0.821821360682834	0.12833248486906	0.897885858435132	0.221956493546962	5.56338449950813
PRAD	-0.0313009649667119	0.969183838795548	0.647556777528626	-0.0483370200929265	0.961447651255279	0.272398577487097	3.44831945176721
READ	0.0831835519232168	1.08674126369148	0.403208613635782	0.206304005197559	0.836553450134573	0.493076566814043	2.39517887017161
SARC	0.0105025068860433	1.01055785179523	0.219329626849871	0.0478845791919949	0.961808229314335	0.657457166879749	1.55329840979856
STAD	-0.136205996564873	0.872662848422838	0.168395078773434	-0.808847844942849	0.418602671740196	0.627347737931697	1.21390482657702
THCA	-0.557315360838409	0.572744614348319	0.516721299551543	-1.07856084377032	0.280783544599433	0.208030516103865	1.57686669921649
THYM	2.37915524831997	10.7957792582176	1.06217296512164	2.23989437355668	0.0250977810079951	1.3462655382931	86.571962571315
UCEC	0.117417734350435	1.12458911108451	0.210457581112873	0.557916392127786	0.576901477520564	0.744478321930262	1.69877433837262
