	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.128010890239998	0.879843797382356	0.152149258122784	-0.841350735582912	0.400151475513213	0.652974006723035	1.18553740244144
BRCA	0.0335917960150377	1.03416237135382	0.163348903164893	0.205644454074652	0.837068650263579	0.750837393149307	1.42439870480914
CESC	0.204122299789505	1.22644813863364	0.237760889245692	0.858519247791732	0.390605806804064	0.769603001112131	1.95448177123046
CHOL	-0.503357798441157	0.604497467444172	0.487125753174257	-1.03332208400218	0.301453195785639	0.232676377045857	1.57049543570296
COAD	-0.12504995794071	0.882452815957907	0.205223448126928	-0.609335624569412	0.542301998517021	0.590207844648622	1.31940464609658
ESCA	0.266012935644218	1.30475193638461	0.254332117622443	1.04592742014249	0.295594543467248	0.792574433687113	2.14790881858225
GBM	-0.359675743256826	0.697902589005971	0.189786311679206	-1.89516166932409	0.0580709865765168	0.481114457931329	1.01237453107418
HNSC	-0.247269157983713	0.780930471570038	0.139557084329577	-1.77181372892375	0.0764254828351301	0.594047487780181	1.02660547173675
KICH	-0.0990699288560866	0.905679372686577	0.6710379030346	-0.14763685986748	0.882629363880859	0.243100570457884	3.37413904280434
KIRC	-0.895321750525716	0.40847615007913	0.167132360053865	-5.35696229166611	8.4632774810915e-08	0.29437666538093	0.566800242021753
KIRP	-0.687918025160494	0.502621425647398	0.339544709149031	-2.02600130888377	0.0427646505152594	0.258356871688619	0.97782689451473
LIHC	0.0538734377872683	1.05535102614134	0.180303348969645	0.298793328549534	0.765097741592322	0.741177877056114	1.50269702166686
LUAD	-0.253530813563557	0.776055831511022	0.155440531782094	-1.63104700335799	0.102880401930861	0.572244656672186	1.05245657884277
LUSC	0.174261166793185	1.19036640940544	0.139345926606895	1.25056520155619	0.21109315316763	0.905876921185362	1.56419945745683
PAAD	0.394562831423662	1.48373540662182	0.209847255529533	1.88023822578958	0.0600756180823752	0.983408941443381	2.23861169457341
PCPG	0.428306130491069	1.53465581400207	0.818831374398598	0.523070004255326	0.60092553849675	0.308333320197164	7.63838454418208
PRAD	0.349822147838067	1.41881518680402	0.654695386450464	0.534328109038134	0.593114547916647	0.393231323661743	5.11921714567515
READ	-0.480647629734909	0.618382779020517	0.40374663327408	-1.19046845254713	0.233862322306829	0.280277109108441	1.36435423715315
SARC	-0.187489683229795	0.829037671127425	0.204316913681105	-0.917641519989024	0.358806573204514	0.555468445399508	1.23734024108977
STAD	-0.0777247511296472	0.925219056998827	0.166741611998028	-0.466138897173229	0.641116082653874	0.667288825289341	1.28284825249789
THCA	-0.38380186149188	0.68126639891547	0.517673970660133	-0.74139686993043	0.458452841789104	0.246985857835615	1.87915174722334
THYM	0.72853896134782	2.07205104839045	0.686359362580515	1.06145410271483	0.288483580701687	0.539722225085397	7.95482444039918
UCEC	-0.0372122984482242	0.963471570116137	0.21211279264741	-0.175436370356414	0.860736764307774	0.635752633270858	1.46012366735502
