	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.163630256408066	1.1777787584269	0.150104748513719	1.09010712871026	0.275665956458132	0.877595371052956	1.58064052017191
BRCA	0.285519787160311	1.33045340101777	0.163244870559323	1.74902761833826	0.0802862455080208	0.966151833294805	1.83212016091019
CESC	0.313281684977556	1.36790679555845	0.238905630047072	1.31131980822649	0.189749738897288	0.856445370403169	2.18480835555703
CHOL	-0.685882941232609	0.503645343959008	0.501331983541557	-1.3681212524829	0.171274125378438	0.188534253339746	1.3454246536012
COAD	-0.12382755577555	0.8835321877696	0.206682000589314	-0.599121139830652	0.549092105542371	0.589242872464857	1.32480028745955
ESCA	0.180884784294046	1.19827711099626	0.253922214981199	0.712362974257449	0.476240037111913	0.728481089407632	1.97104366278764
GBM	-0.166248900720601	0.846835430007072	0.188152821776987	-0.883584413725411	0.376920595865966	0.585656607617689	1.22448929319243
HNSC	0.0755862440307428	1.07851623929485	0.136186109308485	0.555021686239136	0.578879827242773	0.825857015300586	1.40847296429313
KICH	0.618444784675028	1.85603925539238	0.709808421597017	0.871284089985256	0.38359905535755	0.461739611815165	7.46065884192863
KIRC	-0.609807487735448	0.543455480849954	0.158151942907609	-3.85583304589367	0.000115336186725258	0.398606884393272	0.740940187511822
KIRP	0.0343572254407987	1.03495425268984	0.305542223463098	0.112446735025309	0.910469201079204	0.568647509346046	1.88364547027138
LIHC	-0.201622391687987	0.817403528040045	0.176611759861382	-1.14161362667036	0.253614657351184	0.578234906488848	1.15549670238595
LUAD	0.109552593489246	1.11577875208981	0.152092024534901	0.720304656501609	0.471337438356682	0.828165473836657	1.50327713838097
LUSC	0.0209340781293873	1.02115473298848	0.138820402815838	0.1507997218331	0.880133705701667	0.777906523543746	1.34046566926128
PAAD	0.113105048766892	1.11974955508044	0.20965577402874	0.539479770070093	0.589555852102849	0.742440372831881	1.68880776421187
PCPG	1.61713989009786	5.03865857094026	1.09744196726871	1.47355389927593	0.140601741552152	0.586368503858213	43.2971416906948
PRAD	-0.414265963042328	0.660825172818254	0.692403400700226	-0.598301456381326	0.549638805018947	0.170102906760399	2.56721015147249
READ	-0.1309312959982	0.877278044832981	0.395389102634623	-0.331145434018683	0.740534634367889	0.404186167288356	1.90411456460586
SARC	0.188323748040424	1.20722428858794	0.203503494090229	0.925407934061937	0.354753753323746	0.81015007467205	1.79891421172381
STAD	-0.0783592816393423	0.924632163499617	0.166817689022094	-0.469730051403385	0.638547894748678	0.666766116751212	1.28222568048848
THCA	0.275057284918292	1.31660609437994	0.500548310756411	0.549511963196191	0.582654156938489	0.493615020330585	3.51174809590978
THYM	-1.56179808804597	0.209758567537233	0.814676237839921	-1.91707823980114	0.0552279926370106	0.0424879754669785	1.03555549944872
UCEC	-0.300597954289357	0.740375377662164	0.223365507994972	-1.34576711054298	0.178377635414024	0.477884453233994	1.14704652168291
