	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0567851943272355	1.05842842954414	0.149594680989221	0.37959367239352	0.704247058565196	0.78945298872429	1.41904680388579
BRCA	0.158362272352461	1.17159055270209	0.162897018437848	0.972161884061022	0.330970019477966	0.851368676389678	1.61225619551985
CESC	-0.0183225798174917	0.981844258126969	0.237668057232928	-0.0770931526550687	0.938549440180084	0.616224821374776	1.56439356835093
CHOL	-0.924147962193833	0.39686942281091	0.531938830379821	-1.73731998758948	0.0823307054481753	0.139913778813105	1.12573143330407
COAD	-0.318386235579407	0.727321816594184	0.21641081990873	-1.47121218668126	0.141233742453483	0.475901847632879	1.11156749553522
ESCA	0.12135079702874	1.12902090008476	0.254620427576917	0.476594899252857	0.633650616285675	0.685438793909475	1.85966741911102
GBM	-0.416572097183715	0.659302977193998	0.186552559940154	-2.23300123738506	0.0255488627703651	0.457394786357319	0.950339681828587
HNSC	0.00402865488117663	1.00403678081979	0.137290125595415	0.0293440978635914	0.976590157021458	0.767163718968002	1.31404787832649
KICH	0.22062194037863	1.24685195706834	0.674528747856936	0.32707566738938	0.743610655166695	0.33239538101598	4.67708004272904
KIRC	-0.795173844210518	0.451502736962728	0.160265122532536	-4.96161505164098	6.99094410613976e-07	0.32979378547372	0.61812784371305
KIRP	-0.484787653221304	0.615827951962902	0.318682500971347	-1.52122457851833	0.128203489545141	0.329758774683925	1.15006512497606
LIHC	-0.398850033938467	0.67109133473186	0.187967800881937	-2.12190615662406	0.0338456193474378	0.464283392302745	0.970018714902731
LUAD	-0.289062710723303	0.748965235778271	0.153614708946912	-1.881738491743	0.0598715307593838	0.554248571550421	1.01208907554824
LUSC	0.19667624526767	1.21734985412329	0.138634990670574	1.41866237604483	0.155997471143142	0.927703275602425	1.59742959446992
PAAD	0.192323323508611	1.21206234186741	0.209090565343001	0.919808711565325	0.357672730119719	0.80453834215994	1.82601007756703
PCPG	1.56525733032846	4.78390582157276	1.09736101761133	1.42638320954358	0.153757757620411	0.556810260656802	41.1015322933922
PRAD	-0.19064461410606	0.826426236195643	0.648229503268847	-0.294100489324676	0.768681116984534	0.231969102693681	2.9442728188434
READ	0.33957852811407	1.40435556942186	0.415045683653647	0.818171448320485	0.41325929590419	0.622571956977287	3.16784998627582
SARC	-0.613114857471842	0.541661041712097	0.216443472894969	-2.8326788942689	0.00461597291902923	0.354397445216321	0.827874715432971
STAD	0.257873208349693	1.2941747176729	0.166781956051705	1.5461697083691	0.122063587132478	0.933314156054238	1.79455994425783
THCA	0.562569230474001	1.75517616443206	0.516986964080246	1.08816908270569	0.276520470811826	0.637177762965861	4.83482561263754
THYM	0.355504756947456	1.42690071058648	0.685086049944622	0.518919859740528	0.603816627998752	0.372603947181303	5.4643694820589
UCEC	-0.172007786253982	0.841972617330333	0.215972598854439	-0.796433377041093	0.425780184754859	0.55139364721176	1.28568381576191
