	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.124914553077978	1.13305163315586	0.15095210930382	0.827511146774128	0.407947406779228	0.842866965230816	1.52314191486386
BRCA	0.152086291891071	1.16426069835489	0.162702469333801	0.934750975285144	0.349916649914047	0.846364900248272	1.60155858700684
CESC	0.00421853681603998	1.0042274473679	0.240892247046669	0.0175121319501109	0.986028054434435	0.626302629150548	1.61020043523501
CHOL	-0.618751724489127	0.53861635974707	0.485286117086267	-1.27502457355304	0.202300544355156	0.208067020721129	1.39429873115747
COAD	-0.039888302213305	0.960896763199974	0.205633914345619	-0.193977254871795	0.846193691613466	0.642156414720343	1.43784686777643
ESCA	-0.031941355402786	0.968563381423074	0.256366073578362	-0.124592755027793	0.900845964352772	0.586015155873438	1.60083747737798
GBM	-0.0590139752047712	0.942693594729019	0.1856001637311	-0.317962947976013	0.750513042696862	0.655220399839064	1.35629356741853
HNSC	0.371311146259193	1.44963405143524	0.137379535923873	2.70281264063194	0.00687554901774652	1.10744128268009	1.89756235020869
KICH	0.60319917224054	1.82795740664952	0.671378117889574	0.898449258573769	0.368946085363657	0.490329453937993	6.81465951859256
KIRC	-0.0829619457591879	0.920386171150713	0.15858683377782	-0.523132619416677	0.600881967200141	0.674498094505368	1.25591267187594
KIRP	-0.0330250182630298	0.967514353757652	0.303387818290135	-0.108854134121652	0.913318186057011	0.533842613114176	1.75348314602769
LIHC	0.109286783593763	1.11548220647046	0.17930363721957	0.609506785743189	0.542188576310906	0.784944795674873	1.58520772391693
LUAD	0.164491892941523	1.17879401296087	0.149853384930295	1.09768553455123	0.272341828431854	0.878784703730138	1.58122384139621
LUSC	0.141415037617009	1.15190263171056	0.1380518088988	1.02436207641925	0.305664287393564	0.878831991227967	1.50982177047026
PAAD	0.628011628882497	1.87388090183886	0.21042449005806	2.98449875634351	0.00284043356092135	1.24059016623278	2.8304509658813
PCPG	1.06913723131067	2.91286528657516	0.891199205705533	1.19966133774128	0.230270894146439	0.507843923953262	16.7074641982238
PRAD	-0.89487607726615	0.408658237549135	0.805183833115457	-1.11139349855505	0.266399009573288	0.0843308613754102	1.98031364073628
READ	0.381583930056143	1.46460258122988	0.399089750479749	0.956135630136924	0.339003715739112	0.669906179175831	3.20203154952869
SARC	-0.0526014127258958	0.948758100031726	0.207420010592506	-0.253598544208136	0.799805721428244	0.631828575351645	1.42466163686065
STAD	-0.0495258636182192	0.951680543915903	0.170421914883555	-0.290607364974504	0.771351626644418	0.681440268378993	1.32909060367467
THCA	-0.197617323705575	0.820683849308902	0.504539728079939	-0.391678420364678	0.695295836680672	0.305288813930323	2.2061796888182
THYM	0.186646197655313	1.20520080673862	0.697553095938395	0.267572746421868	0.789028211436179	0.30711508016166	4.72952674221937
UCEC	-0.283319676204394	0.753278944012073	0.220087356472928	-1.28730555332579	0.197987808708232	0.489347225768376	1.15956347070521
