	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.389858495198631	1.47677180879532	0.15379034858315	2.53499974992154	0.0112447406321897	1.09246318644913	1.99627319465209
BRCA	0.290312763558052	1.33684553921389	0.166768157846028	1.74081651622062	0.0817157459421336	0.964112953468093	1.85367906248675
CESC	0.65969831795365	1.93420873032719	0.238756491913372	2.76305918497499	0.00572623821572916	1.21136060247665	3.0883977940384
CHOL	-0.424538578429898	0.654071518218312	0.502541627785979	-0.844782909428349	0.398232058489612	0.244264879781385	1.75141654144998
COAD	0.153871576832886	1.16634109194312	0.206209215336175	0.746191563660407	0.455551703613209	0.778574139463668	1.74723442996985
ESCA	-0.0602050314998719	0.941571461982958	0.279746416002165	-0.215212878721584	0.82960135041388	0.544167632471602	1.62919799914228
GBM	-0.1409518951907	0.868531091215276	0.190321223563001	-0.740599984341954	0.458936017518603	0.598113562707561	1.26120908041743
HNSC	0.229911696630019	1.25848887621396	0.145039324028317	1.58516800991938	0.11292816670542	0.947090945712882	1.67227261407523
KICH	1.3200352205364	3.74355322489159	0.71095388001648	1.85671005903477	0.0633524156169375	0.929220906418391	15.0816567414661
KIRC	0.00149073229510917	1.00149184398884	0.159246036128771	0.00936118933537363	0.992530960646355	0.732988135682842	1.36835218027342
KIRP	0.778423527330791	2.17803594343859	0.305445512873364	2.54848571847746	0.0108191716649518	1.19693164880328	3.96333456104486
LIHC	0.418737431716978	1.52004118778339	0.175504952687954	2.38590094070729	0.0170373395348759	1.0776190728549	2.14410200298028
LUAD	0.299855088298255	1.34966321141151	0.159396842263971	1.88118587570058	0.0599466383891342	0.987521528147753	1.84460868175128
LUSC	-0.205371315855661	0.814344881099047	0.148119690031038	-1.38652272235127	0.165587346873368	0.609156190496393	1.08864950519804
PAAD	0.251190600836561	1.2855550888568	0.211698324551767	1.18654978195227	0.235405254168475	0.848970796429133	1.9466533989589
PCPG	-0.027102396858431	0.973261577493815	0.87397606493155	-0.0310104566313881	0.975261200498479	0.175509166359006	5.39708619143096
PRAD	1.02310622406001	2.78182232088867	0.656432394593822	1.55858582313427	0.119094440607252	0.768374812613109	10.0713028302906
READ	-0.259219158874494	0.771653889712877	0.408329227016631	-0.634828813916709	0.525540068647818	0.346618773764157	1.71788076866881
SARC	0.250631132284796	1.28483606236813	0.215804089996572	1.1613826794885	0.245486309532937	0.84169537987061	1.96128403059005
STAD	-0.261434859850667	0.769946028190099	0.170781900937269	-1.53081127693206	0.125816041735233	0.550922443905274	1.07604417442764
THCA	1.79119433054302	5.99661012585454	0.640705798735007	2.79565806034456	0.00517941679916338	1.70818950452096	21.051138006837
THYM	0.505870702691442	1.6584288904951	0.707445227463899	0.715066952257101	0.474567673444529	0.414494130818646	6.63552552456327
UCEC	0.173257783894131	1.18917261512318	0.216903849181531	0.798776898371817	0.424419788220448	0.777348935790397	1.8191721162145
