"","R","Pvalues"
"TCGA-UCEC",0.379471010989456,2.58525925697907e-20
"TCGA-BRCA",0.379026448423982,5.69234962819388e-39
"TCGA-LGG",0.401077976426613,3.59920908739764e-21
"TCGA-CESC",0.161164817873154,0.00484948444467529
"TCGA-STAD",0.145758239157598,0.00467970009056449
"TCGA-ESCA",-0.182019122143114,0.0208379922727641
"TCGA-THCA",0.391577717738787,7.63679900419393e-20
"TCGA-OV",0.092889703791353,0.0727702081163016
"TCGA-ACC",-0.0423477177491553,0.710964076008982
"TCGA-GBM",0.1170894220128,0.145476453683585
"TCGA-HNSC",0.214854139092758,1.2408387115131e-06
"TCGA-PRAD",0.483788720999898,1.40606536111402e-30
"TCGA-LIHC",0.300405824822085,3.55639420799644e-09
"TCGA-BLCA",0.247354274582149,3.44862719606093e-07
"TCGA-COAD",0.456022557716381,6.35021411971952e-26
"TCGA-LUSC",0.144056785043897,0.00121007661813523
"TCGA-TGCT",-0.232176076562977,0.00425044186955274
"TCGA-KIRP",0.1874722218946,0.00139319825089496
"TCGA-KIRC",0.455029549102107,7.47609469315477e-29
"TCGA-PAAD",0.39632647132704,4.74233030138669e-08
"TCGA-MESO",0.32207633977977,0.00249352022293568
"TCGA-LUAD",0.248797792992094,5.8058896473224e-09
"TCGA-THYM",0.571832221617308,1.10056035729953e-11
"TCGA-SARC",0.170555160839543,0.00592797094654914
"TCGA-CHOL",0.241184298684356,0.15646738606354
"TCGA-UCS",0.111358137888233,0.413883515122171
"TCGA-PCPG",-0.0314087665524484,0.677266849227511
"TCGA-READ",0.368046605450838,1.06918123263622e-06
"TCGA-KICH",0.43991341849546,0.000245671385431978
"TCGA-UVM",0.546695195687365,1.55177738502172e-07
"TCGA-SKCM",0.286658753361725,0.00332866543428778
"TCGA-DLBC",0.492627865286285,0.000375220413586714
