"","R","Pvalues"
"TCGA-UCEC",0.347483046151126,4.41629591530929e-17
"TCGA-BRCA",0.277820918069266,5.57164510563723e-21
"TCGA-LGG",0.412113181412924,2.27160904151506e-22
"TCGA-CESC",0.258357372426873,5.02423823634387e-06
"TCGA-STAD",0.15593671142258,0.00246043605106886
"TCGA-ESCA",-0.219223154700065,0.00520562664253065
"TCGA-THCA",0.397557116425051,1.86083020504499e-20
"TCGA-OV",0.0487004160947193,0.34761473241256
"TCGA-ACC",-0.0537373270631376,0.638101487197697
"TCGA-GBM",0.0229473147449427,0.776146588325459
"TCGA-HNSC",0.304143929518004,3.67518301160458e-12
"TCGA-PRAD",0.381397567150958,1.08827508054844e-18
"TCGA-LIHC",0.26385238881774,2.51380535390459e-07
"TCGA-BLCA",0.291394350875926,1.5155606847617e-09
"TCGA-COAD",0.274143703194286,1.0935164008368e-09
"TCGA-LUSC",-0.0291895550940904,0.514071531071141
"TCGA-TGCT",0.179623210105276,0.0278463979290287
"TCGA-KIRP",0.0276470470592032,0.640331899032221
"TCGA-KIRC",0.24655004908048,6.82889786695874e-09
"TCGA-PAAD",0.386111776937048,1.10972473284347e-07
"TCGA-MESO",0.314997323427363,0.00313671924732268
"TCGA-LUAD",0.104946342235318,0.0153555616050126
"TCGA-THYM",0.463509175133753,1.10517987017197e-07
"TCGA-SARC",0.323495160078129,1.01039482712274e-07
"TCGA-CHOL",0.0841800982344213,0.625462467319913
"TCGA-UCS",0.382100324512182,0.00366041238621863
"TCGA-PCPG",0.0665994158234798,0.377091420079521
"TCGA-READ",0.283847765884621,0.000210550867419722
"TCGA-KICH",0.428301973352645,0.000371918822950568
"TCGA-UVM",0.461112362943576,1.6732538372101e-05
"TCGA-SKCM",0.22077749874176,0.025024044232417
"TCGA-DLBC",0.521767170254842,0.000142840804076096
