"","R","Pvalues"
"TCGA-UCEC",0.19213430225638,5.56735244436549e-06
"TCGA-BRCA",0.206838798460797,4.10206089335561e-12
"TCGA-LGG",-0.233582964213405,9.22578645711135e-08
"TCGA-CESC",0.278290510031403,8.22722945844186e-07
"TCGA-STAD",-0.0293750793060287,0.570667110158273
"TCGA-ESCA",0.217861024599503,0.00549924471888806
"TCGA-THCA",0.207066160347836,2.88802658408909e-06
"TCGA-OV",0.173761525544654,0.000738566161500961
"TCGA-ACC",-0.0635742713021758,0.577788855730808
"TCGA-GBM",-0.257282268415634,0.00118539767208507
"TCGA-HNSC",0.233613380889668,1.26415623687153e-07
"TCGA-PRAD",0.0442902882118743,0.323947366525002
"TCGA-LIHC",0.0489767757388785,0.346837799403693
"TCGA-BLCA",0.178871735501601,0.0002541504771864
"TCGA-COAD",-0.0912004595816422,0.0462757816178604
"TCGA-LUSC",0.112786228837094,0.0114456657670859
"TCGA-TGCT",0.244925354555496,0.00252137360496012
"TCGA-KIRP",0.126408710368652,0.0319922809091464
"TCGA-KIRC",-0.17996263050521,2.68307395372179e-05
"TCGA-PAAD",-0.0415295487374513,0.583117386380278
"TCGA-MESO",0.0652682314996445,0.550472093376522
"TCGA-LUAD",-0.11323335063791,0.00888422694979569
"TCGA-THYM",0.120620021555013,0.191315712385047
"TCGA-SARC",0.0183229171501198,0.769157002716693
"TCGA-CHOL",0.067337647044725,0.696380875799581
"TCGA-UCS",0.232159753143744,0.0851145751520568
"TCGA-PCPG",0.0246726425253344,0.743739917939402
"TCGA-READ",0.132831492932543,0.0879986919741332
"TCGA-KICH",0.0308922074880048,0.807008839589199
"TCGA-UVM",0.025943171661243,0.81931259323304
"TCGA-SKCM",-0.0452419703382489,0.649983807046133
"TCGA-DLBC",0.579147994747848,1.61318349658025e-05
