"","R","Pvalues"
"TCGA-UCEC",-0.220634321158774,1.67791609357487e-07
"TCGA-BRCA",-0.160259381993186,8.8637138520178e-08
"TCGA-LGG",-0.358486900279733,6.09158938559179e-17
"TCGA-CESC",-0.0071622315635871,0.901026349411326
"TCGA-STAD",-0.313850050959459,5.12852313272873e-10
"TCGA-ESCA",-0.126402588170921,0.110090286838573
"TCGA-THCA",-0.10473276355073,0.0189159383085779
"TCGA-OV",-0.187887441177591,0.000258185218509569
"TCGA-ACC",-0.136865146889131,0.229067764892709
"TCGA-GBM",-0.433738935757641,1.54682329027545e-08
"TCGA-HNSC",0.0442400702801778,0.323522295295553
"TCGA-PRAD",0.0120907366479026,0.787816070539439
"TCGA-LIHC",-0.128601176628917,0.0131759977194611
"TCGA-BLCA",-0.119109639257352,0.015315430410011
"TCGA-COAD",-0.619555045069315,5.18820699032032e-52
"TCGA-LUSC",-0.324637871140748,8.75485288148551e-14
"TCGA-TGCT",-0.105575432136341,0.19850953187742
"TCGA-KIRP",-0.347125163898348,1.40773230478333e-09
"TCGA-KIRC",-0.587472307978647,3.14291221467406e-51
"TCGA-PAAD",-0.354329511765072,1.30782394839102e-06
"TCGA-MESO",-0.304949827653714,0.00430445802495731
"TCGA-LUAD",-0.413278336232974,2.10503647751783e-23
"TCGA-THYM",-0.0860483836843904,0.352114165976113
"TCGA-SARC",-0.219945343183274,0.000362009867025341
"TCGA-CHOL",-0.143476227874514,0.403825837709037
"TCGA-UCS",0.0515335134260102,0.706029143644069
"TCGA-PCPG",-0.0587176731578871,0.436248198324223
"TCGA-READ",-0.558591625609411,5.27411171852662e-15
"TCGA-KICH",-0.402119415538163,0.000898741615464553
"TCGA-UVM",-0.465938749687171,1.32725245765845e-05
"TCGA-SKCM",-0.201957376232007,0.0407799772550535
"TCGA-DLBC",0.0703077987132644,0.634890261900269
