"","R","Pvalues"
"TCGA-UCEC",0.413418033413774,3.69267597258662e-24
"TCGA-BRCA",0.363675263474066,8.55570699317512e-36
"TCGA-LGG",0.322494209118073,7.85030783635654e-14
"TCGA-CESC",0.304531938741356,6.05979784891552e-08
"TCGA-STAD",0.0171279798874753,0.740947513280115
"TCGA-ESCA",0.0301920909070451,0.703799653990103
"TCGA-THCA",0.59311829477773,5.0881952612539e-49
"TCGA-OV",0.0636488311361396,0.219433843014516
"TCGA-ACC",0.0650854773233352,0.568761511214171
"TCGA-GBM",-0.165067029181897,0.039469980125683
"TCGA-HNSC",0.470979655881834,5.69889326153414e-29
"TCGA-PRAD",0.471109492581926,7.05543951858802e-29
"TCGA-LIHC",0.285596410633974,2.15019466675955e-08
"TCGA-BLCA",0.177584526811391,0.000282009521306464
"TCGA-COAD",0.177638662504363,9.43499686535045e-05
"TCGA-LUSC",-0.0261232516756,0.559259783955697
"TCGA-TGCT",0.253543829314919,0.00174445758603672
"TCGA-KIRP",0.534993001734937,1.00292465250255e-22
"TCGA-KIRC",0.53464116626482,4.20830035663489e-41
"TCGA-PAAD",0.528263346352556,4.13889211363954e-14
"TCGA-MESO",0.338332631317125,0.00144167674048916
"TCGA-LUAD",0.130739541089668,0.00249241563924185
"TCGA-THYM",0.62122735579958,4.77593711119403e-14
"TCGA-SARC",0.104858278110121,0.0921783546324682
"TCGA-CHOL",0.356282590258489,0.0329412934131516
"TCGA-UCS",0.222385912260942,0.099486165379105
"TCGA-PCPG",0.46836026351025,4.31818239197462e-11
"TCGA-READ",0.235408112982513,0.00226469203230099
"TCGA-KICH",0.652508638212523,3.87815909105059e-09
"TCGA-UVM",0.0569607185145528,0.61576488800407
"TCGA-SKCM",0.183019017905937,0.064251031249657
"TCGA-DLBC",0.497683121352505,0.000319294815546423
