"","R","Pvalues"
"TCGA-UCEC",-0.560386939555381,7.02922109487196e-47
"TCGA-BRCA",-0.499584113382004,1.25145488999975e-70
"TCGA-LGG",-0.4704379457908,1.67861339818558e-29
"TCGA-CESC",-0.532726880979965,1.10131101465609e-23
"TCGA-STAD",-0.128223028180719,0.0129549772491633
"TCGA-ESCA",-0.208429179298627,0.00797164699091339
"TCGA-THCA",-0.755084610097331,1.00490726900861e-93
"TCGA-OV",-0.349281311442982,3.59274640012451e-12
"TCGA-ACC",-0.30219639901443,0.00679423120617131
"TCGA-GBM",-0.536486387757114,5.25776298070583e-13
"TCGA-HNSC",-0.503663722420937,1.61141071474091e-33
"TCGA-PRAD",-0.592010805696926,2.01153625863093e-48
"TCGA-LIHC",-0.38721120265535,1.01844098004816e-14
"TCGA-BLCA",-0.490121335161416,2.10132180795437e-26
"TCGA-COAD",-0.517811971152931,3.81660673200432e-34
"TCGA-LUSC",-0.339143965485807,5.61004198727757e-15
"TCGA-TGCT",-0.175143829540445,0.0320553861082251
"TCGA-KIRP",-0.62242066925715,2.77007286703315e-32
"TCGA-KIRC",-0.63948683128121,3.36321095528025e-63
"TCGA-PAAD",-0.529302109242883,3.6150452666528e-14
"TCGA-MESO",-0.544864937770446,5.83802381922531e-08
"TCGA-LUAD",-0.557098638432149,8.82892514756935e-45
"TCGA-THYM",-0.550713552663319,8.64341926459067e-11
"TCGA-SARC",-0.332289199193069,4.29490800412986e-08
"TCGA-CHOL",-0.558746113107662,0.000397331843185799
"TCGA-UCS",-0.559078288427812,7.51226512749074e-06
"TCGA-PCPG",-0.446184168884016,4.32077524453671e-10
"TCGA-READ",-0.488563180584821,2.42556732202504e-11
"TCGA-KICH",-0.578195270510937,4.56149398694901e-07
"TCGA-UVM",-0.459653266663571,1.79340945321708e-05
"TCGA-SKCM",-0.476977106688041,3.51208501594942e-07
"TCGA-DLBC",-0.683201914850978,8.76956095847524e-08
