"","R","Pvalues"
"TCGA-UCEC",-0.128096178260275,0.00259154930359795
"TCGA-BRCA",-0.101066327956178,0.000779889819610675
"TCGA-LGG",-0.239801310935987,4.07017658070609e-08
"TCGA-CESC",-0.0285466894691603,0.6200502515386
"TCGA-STAD",-0.395679742816339,1.66452802824969e-15
"TCGA-ESCA",-0.176239858178392,0.025329291383604
"TCGA-THCA",-0.215144362396196,1.14190637824043e-06
"TCGA-OV",-0.0706382471587683,0.17281656943404
"TCGA-ACC",-0.279324767832216,0.0126684565725387
"TCGA-GBM",-0.2898025443208,0.000242940154729733
"TCGA-HNSC",0.03833160893996,0.392390666073389
"TCGA-PRAD",-0.116304940313513,0.00938367828719607
"TCGA-LIHC",-0.0503452713693094,0.33351430615591
"TCGA-BLCA",-0.0323785219722468,0.511190032262007
"TCGA-COAD",-0.292428704193448,7.04272096015037e-11
"TCGA-LUSC",-0.236604987974238,8.12380006834802e-08
"TCGA-TGCT",0.2704068336433,0.000817916279942598
"TCGA-KIRP",-0.374418002542051,5.13873486213491e-11
"TCGA-KIRC",-0.505058976119411,3.59877597553717e-36
"TCGA-PAAD",-0.146277998627203,0.0520431381262775
"TCGA-MESO",-0.130477825200132,0.231141981976768
"TCGA-LUAD",-0.317220673871775,6.33292355415458e-14
"TCGA-THYM",0.324632032243874,0.000315776881726551
"TCGA-SARC",-0.191130127840147,0.00200424753557819
"TCGA-CHOL",-0.18662558061815,0.275781254089692
"TCGA-UCS",0.0260074560820729,0.849101851574067
"TCGA-PCPG",-0.209785468431782,0.00494626965017511
"TCGA-READ",-0.220549733360061,0.00429882049979958
"TCGA-KICH",-0.487715479239076,3.77616925961989e-05
"TCGA-UVM",0.171634685105711,0.127932128696102
"TCGA-SKCM",-0.180850132230839,0.0675294594810802
"TCGA-DLBC",0.380191940306991,0.00768677843797635
