"","R","Pvalues"
"TCGA-UCEC",0.0216545085793793,0.61200759309685
"TCGA-BRCA",0.101337736841496,0.000754675616303352
"TCGA-LGG",0.311343629271649,5.99855631176302e-13
"TCGA-CESC",0.000438721243064298,0.993921890744003
"TCGA-STAD",0.0813554786118013,0.115767310941279
"TCGA-ESCA",-0.0415335319140371,0.600890094688076
"TCGA-THCA",-0.192462225964097,1.41130720770395e-05
"TCGA-OV",0.00634859267605401,0.902609011820356
"TCGA-ACC",-0.148467356070409,0.191612585042411
"TCGA-GBM",0.113177067330452,0.159505551040399
"TCGA-HNSC",0.0769626246363712,0.0855816150051059
"TCGA-PRAD",-0.0791543269356598,0.0776088213754954
"TCGA-LIHC",-0.129102805429962,0.0128201101023953
"TCGA-BLCA",-0.0479348059249764,0.330583391531776
"TCGA-COAD",0.139906237767261,0.00217028273068118
"TCGA-LUSC",0.0763374626303982,0.0875254159608432
"TCGA-TGCT",-0.0793481198572748,0.334442014046521
"TCGA-KIRP",-0.0358655854575137,0.544377170532085
"TCGA-KIRC",-0.111795397084221,0.00945404425487543
"TCGA-PAAD",0.321503748113886,1.2803520578566e-05
"TCGA-MESO",0.0540766572788299,0.620945969227691
"TCGA-LUAD",0.0521937222469764,0.228985334699863
"TCGA-THYM",0.00597641592980174,0.948566200824815
"TCGA-SARC",0.193729519222387,0.00173365934712779
"TCGA-CHOL",-0.17198021053813,0.315878891105799
"TCGA-UCS",-0.202835098081078,0.133801635930808
"TCGA-PCPG",-0.191252089343652,0.0105489810258899
"TCGA-READ",-0.0493697557349429,0.527606661241108
"TCGA-KICH",0.0831449203814704,0.510235741686911
"TCGA-UVM",-0.31115523178341,0.00496408163737942
"TCGA-SKCM",-0.035893420587099,0.718885480229098
"TCGA-DLBC",-0.199094154797504,0.174898357001437
