"","R","Pvalues"
"TCGA-UCEC",0.591360307639941,2.86477253756734e-53
"TCGA-BRCA",0.510383544669588,3.89874307881893e-74
"TCGA-LGG",0.4573612606882,8.82688783375409e-28
"TCGA-CESC",0.496316308190872,2.60572054724536e-20
"TCGA-STAD",0.228450597210098,7.8812380731756e-06
"TCGA-ESCA",0.166980245004424,0.0342496603708167
"TCGA-THCA",0.555476415380339,5.56178607530967e-42
"TCGA-OV",0.267558824643698,1.49561368993114e-07
"TCGA-ACC",0.369856012815038,0.000794348752078313
"TCGA-GBM",0.43709637358649,1.16317742347464e-08
"TCGA-HNSC",0.613298422629698,5.51542653209766e-53
"TCGA-PRAD",0.480625651049873,3.79233707006807e-30
"TCGA-LIHC",0.292072017238517,9.91449945856281e-09
"TCGA-BLCA",0.498677271046081,2.05755201221562e-27
"TCGA-COAD",0.397852067186924,1.40479389920394e-19
"TCGA-LUSC",0.301683467726761,5.05667770716434e-12
"TCGA-TGCT",0.413006035531195,1.50164053227685e-07
"TCGA-KIRP",0.519561871767346,2.59202944326381e-21
"TCGA-KIRC",0.647627946335918,2.75018506797655e-65
"TCGA-PAAD",0.541188888456925,7.43143029497773e-15
"TCGA-MESO",0.556425419935448,2.65744770641319e-08
"TCGA-LUAD",0.506127444018162,5.12430717399155e-36
"TCGA-THYM",0.707421210961676,2.40328595136583e-19
"TCGA-SARC",0.585972709529136,2.82972869204067e-25
"TCGA-CHOL",0.379610698428364,0.022400395054762
"TCGA-UCS",0.600223116361662,1.01046286044632e-06
"TCGA-PCPG",0.481337216005258,1.03705633988469e-11
"TCGA-READ",0.402722811226115,7.48792331674145e-08
"TCGA-KICH",0.678692813565692,5.19937858247666e-10
"TCGA-UVM",0.515712348185657,9.8013488640141e-07
"TCGA-SKCM",0.502464049035869,6.36991049572445e-08
"TCGA-DLBC",0.550936532815163,4.95500961558333e-05
