"","R","Pvalues"
"TCGA-UCEC",-0.157479365302644,0.000206147026297103
"TCGA-BRCA",-0.263843430114323,5.24311435959083e-19
"TCGA-LGG",-0.245003634358283,2.01681069671351e-08
"TCGA-CESC",-0.14507496332201,0.0113265503711898
"TCGA-STAD",-0.198855096357064,0.000105864625639057
"TCGA-ESCA",-0.129606773119465,0.101290196800168
"TCGA-THCA",-0.262259023294755,2.42991045345121e-09
"TCGA-OV",-0.00928177893818116,0.858013039262835
"TCGA-ACC",0.134339469224917,0.237855997093443
"TCGA-GBM",-0.330183483983208,2.55941098677485e-05
"TCGA-HNSC",-0.215267797449115,1.18240730516755e-06
"TCGA-PRAD",-0.143561485624042,0.00131672336364096
"TCGA-LIHC",-0.268341786523654,1.53975262420654e-07
"TCGA-BLCA",-0.195353963145285,6.29512867602238e-05
"TCGA-COAD",-0.2695737578496,2.10419584805006e-09
"TCGA-LUSC",-0.159571313885648,0.000331485305961302
"TCGA-TGCT",0.21437132921935,0.00843269550091543
"TCGA-KIRP",-0.294921309668259,3.45021913070308e-07
"TCGA-KIRC",-0.327519877152072,6.43472732619297e-15
"TCGA-PAAD",-0.308826064504868,2.88643881296648e-05
"TCGA-MESO",-0.300221048606047,0.00497740453850512
"TCGA-LUAD",-0.180878449385262,2.65975971125473e-05
"TCGA-THYM",-0.358263055306379,6.31904924775188e-05
"TCGA-SARC",-0.228799298055931,0.000204212147687739
"TCGA-CHOL",-0.270929726496935,0.109984253956499
"TCGA-UCS",-0.0840567987914401,0.537942162506214
"TCGA-PCPG",-0.0870480380088215,0.247935625812033
"TCGA-READ",-0.34558298333455,5.11105752547384e-06
"TCGA-KICH",-0.229141677700244,0.0663478236238388
"TCGA-UVM",-0.262375858323519,0.0187140572108097
"TCGA-SKCM",-0.379479050765761,7.71066646846449e-05
"TCGA-DLBC",-0.163674373423061,0.266312416174895
