"","R","Pvalues"
"TCGA-UCEC",0.142917356095413,0.000767041181643581
"TCGA-BRCA",0.120259137489222,6.27639870346331e-05
"TCGA-LGG",-0.0900002740086779,0.0419888890294482
"TCGA-CESC",0.33124779831605,3.22596008021424e-09
"TCGA-STAD",0.109759389995649,0.0336025415321019
"TCGA-ESCA",0.183299342111077,0.0199418227489273
"TCGA-THCA",0.26298764765962,2.18683990500674e-09
"TCGA-OV",0.0647232716917642,0.211735181102174
"TCGA-ACC",0.213942528439773,0.0583263189590864
"TCGA-GBM",-0.128998914097982,0.108504584732808
"TCGA-HNSC",0.244014788064619,3.26802286061428e-08
"TCGA-PRAD",0.0732357656692301,0.102593416322328
"TCGA-LIHC",-0.157936106385394,0.00228104045983684
"TCGA-BLCA",0.218927210867449,6.93433514474964e-06
"TCGA-COAD",-0.0782122685331998,0.0876156374509664
"TCGA-LUSC",-0.0400123918968676,0.3709927502443
"TCGA-TGCT",0.0247263116922254,0.763912626463469
"TCGA-KIRP",-0.108382882781115,0.0662492474499963
"TCGA-KIRC",-0.0525251713889279,0.223863688574291
"TCGA-PAAD",0.195207235405104,0.00922071298297156
"TCGA-MESO",0.356757134734141,0.000747085363455136
"TCGA-LUAD",0.0220188715560847,0.612005266921247
"TCGA-THYM",0.121766253400336,0.187099942001773
"TCGA-SARC",0.0264463660000552,0.671836115614473
"TCGA-CHOL",-0.13065898871685,0.447522555023941
"TCGA-UCS",0.268170870238375,0.0456828284496884
"TCGA-PCPG",0.0065340266090569,0.931020037137979
"TCGA-READ",-0.000566627272584135,0.994219123858842
"TCGA-KICH",0.0897899426033468,0.476897018328647
"TCGA-UVM",-0.0939682371510797,0.407055575008193
"TCGA-SKCM",0.0461011907349654,0.64378596052374
"TCGA-DLBC",0.354234806789371,0.0135038011992257
