"","R","Pvalues"
"TCGA-UCEC",-0.110143171100001,0.00966924258414606
"TCGA-BRCA",-0.0495847910568609,0.0999327401233552
"TCGA-LGG",-0.15901232475494,0.000307728413343535
"TCGA-CESC",-0.0644619512296666,0.262514365190974
"TCGA-STAD",0.0528747781102408,0.307154065416661
"TCGA-ESCA",-0.0244674239036661,0.75801848894223
"TCGA-THCA",-0.145924942410615,0.00104205979932394
"TCGA-OV",0.0941598481446203,0.0689248049332037
"TCGA-ACC",0.0213055051679147,0.852154437326465
"TCGA-GBM",-0.0653701373259411,0.417495501049679
"TCGA-HNSC",-0.119824920946832,0.00731110731997377
"TCGA-PRAD",-0.013633366352006,0.761516017335934
"TCGA-LIHC",-0.0561718114034978,0.280522339946002
"TCGA-BLCA",-0.141397745811563,0.0039413645244915
"TCGA-COAD",-0.0896246473400697,0.0501954399774363
"TCGA-LUSC",0.0375345874857304,0.401371066484966
"TCGA-TGCT",0.0531657636194475,0.518178946212481
"TCGA-KIRP",-0.230622729067403,7.81006145100609e-05
"TCGA-KIRC",-0.122028527527393,0.00459050686410145
"TCGA-PAAD",-0.0786824542496269,0.297875537875949
"TCGA-MESO",-0.0189877677207167,0.862239351189808
"TCGA-LUAD",-0.0271318079938489,0.531950778744308
"TCGA-THYM",-0.121213752845709,0.18912347259074
"TCGA-SARC",-0.154366889672839,0.0128749532868257
"TCGA-CHOL",-0.0426319555441036,0.805003781451811
"TCGA-UCS",-0.182791699014978,0.177520646537061
"TCGA-PCPG",0.011241169938555,0.881613605987329
"TCGA-READ",-0.199379270872603,0.0100147020852472
"TCGA-KICH",-0.0534099090939932,0.67262276810788
"TCGA-UVM",0.0785908859891471,0.488342212670464
"TCGA-SKCM",-0.0143703557067662,0.885444638222002
"TCGA-DLBC",0.105410760726286,0.475816828253206
