"","R","Pvalues"
"TCGA-UCEC",-0.205223374344506,1.18486895127093e-06
"TCGA-BRCA",-0.151911019529072,4.04972360888843e-07
"TCGA-LGG",-0.273475944557786,3.2342466648095e-10
"TCGA-CESC",0.0148543398767589,0.796452029239288
"TCGA-STAD",-0.0407699256071538,0.431166067258193
"TCGA-ESCA",-0.101924719498907,0.198249102231647
"TCGA-THCA",-0.38678390831992,2.32042388606279e-19
"TCGA-OV",0.0389876036015235,0.452203614616003
"TCGA-ACC",0.0253092934789722,0.824778054200395
"TCGA-GBM",-0.115779247331437,0.15006634983843
"TCGA-HNSC",-0.172801519404555,0.000102946205590051
"TCGA-PRAD",-0.346070148834732,1.85841587566098e-15
"TCGA-LIHC",-0.142828978407049,0.00585237326168354
"TCGA-BLCA",-0.164593632882553,0.000774319141962167
"TCGA-COAD",-0.198248766962962,1.26299932358738e-05
"TCGA-LUSC",0.0298581650480287,0.504475827591287
"TCGA-TGCT",-0.0031430165084236,0.969550539926404
"TCGA-KIRP",-0.304477380153887,1.36168692885397e-07
"TCGA-KIRC",-0.417524336468146,4.14340121352455e-24
"TCGA-PAAD",-0.0106821500920694,0.887779992750963
"TCGA-MESO",-0.16599371047033,0.12664797944334
"TCGA-LUAD",-0.156478859910768,0.000287314570901894
"TCGA-THYM",-0.0282815299745088,0.760122690028405
"TCGA-SARC",0.219296472740676,0.000377190967645366
"TCGA-CHOL",-0.0771651306433835,0.654644716197905
"TCGA-UCS",0.0126198038953541,0.926450468977048
"TCGA-PCPG",-0.254174091306769,0.000617939810995558
"TCGA-READ",-0.1739420950138,0.0250088313715497
"TCGA-KICH",-0.240118220115227,0.0540267748513877
"TCGA-UVM",-0.462976414013931,1.53068152210829e-05
"TCGA-SKCM",-0.393118002656247,3.99666631855471e-05
"TCGA-DLBC",0.113407679705834,0.442795427385322
