"","R","Pvalues"
"TCGA-UCEC",0.0126296693017202,0.767383063448549
"TCGA-BRCA",0.00542421550073595,0.857261444322341
"TCGA-LGG",-0.113989816066421,0.00991225694597931
"TCGA-CESC",-0.0130662062415798,0.820510637671914
"TCGA-STAD",-0.133934807134014,0.00941276629945755
"TCGA-ESCA",-0.0225077476998382,0.776868752948824
"TCGA-THCA",0.0555688765938392,0.213905701737472
"TCGA-OV",-0.0370665934813502,0.474806855968302
"TCGA-ACC",0.164017421261674,0.148631002611501
"TCGA-GBM",0.0195436755594856,0.808655895295126
"TCGA-HNSC",-0.0686302441508183,0.125378042628043
"TCGA-PRAD",-0.103403241654481,0.0210031019247818
"TCGA-LIHC",0.282466658142341,3.10415575687416e-08
"TCGA-BLCA",-0.00275894836586719,0.955368357775493
"TCGA-COAD",-0.324932519925877,3.23949268779578e-13
"TCGA-LUSC",0.195544272109465,1.01952653345377e-05
"TCGA-TGCT",0.098723225302008,0.229390082163314
"TCGA-KIRP",0.213801312604135,0.000257282629738168
"TCGA-KIRC",0.123496749934292,0.00412016128817076
"TCGA-PAAD",0.12489104091079,0.0976639193813842
"TCGA-MESO",-0.331640272141221,0.00181291229201576
"TCGA-LUAD",0.00582296734096054,0.893308348506914
"TCGA-THYM",-0.24545737360221,0.00713122209635084
"TCGA-SARC",-0.13301519468734,0.0323677027526824
"TCGA-CHOL",0.348742937930779,0.0371092357311718
"TCGA-UCS",0.115921929972483,0.394886972730556
"TCGA-PCPG",0.135630700134356,0.071052595635106
"TCGA-READ",-0.399753946535019,9.51676846598794e-08
"TCGA-KICH",-0.236498996814286,0.0578645866394936
"TCGA-UVM",-0.169490771105177,0.132836505026482
"TCGA-SKCM",0.086335588932734,0.38586657312145
"TCGA-DLBC",0.165410083018075,0.261205123664341
