"","R","Pvalues"
"TCGA-UCEC",0.128568031908866,0.00249760490385529
"TCGA-BRCA",0.0663924278002297,0.0275300176831992
"TCGA-LGG",-0.153355729987437,0.000503734097328906
"TCGA-CESC",-0.0491753638701705,0.392890815142131
"TCGA-STAD",0.0233481693025441,0.652214890515739
"TCGA-ESCA",-0.0603456599113291,0.446998953013021
"TCGA-THCA",0.0709646172270164,0.112280354556584
"TCGA-OV",0.0343291265366798,0.508056779490723
"TCGA-ACC",0.0731587220097959,0.521689060532335
"TCGA-GBM",-0.135684223708334,0.0912414103114073
"TCGA-HNSC",0.0238042158047596,0.595403903344702
"TCGA-PRAD",0.00155209283930877,0.972439089209487
"TCGA-LIHC",0.0583998541855432,0.261852819599566
"TCGA-BLCA",-0.0185785764245486,0.706242204058389
"TCGA-COAD",0.340238731321314,2.03169588687374e-14
"TCGA-LUSC",-0.0527995635856324,0.237655254286868
"TCGA-TGCT",0.136874760040591,0.0948771661849287
"TCGA-KIRP",0.101335307281152,0.0860413538621865
"TCGA-KIRC",0.327350155965786,6.65637540335818e-15
"TCGA-PAAD",0.354608958862846,1.28121721032209e-06
"TCGA-MESO",-0.2704181025897,0.0117968854386944
"TCGA-LUAD",0.0692509674401232,0.110277567627996
"TCGA-THYM",-0.0758869426429161,0.412059619623246
"TCGA-SARC",-0.097049788468864,0.119234757526751
"TCGA-CHOL",0.149393535852061,0.384507021082536
"TCGA-UCS",0.262440990546415,0.0506972232760445
"TCGA-PCPG",0.233040288807792,0.00174534876972983
"TCGA-READ",0.151447856450745,0.0514419196537571
"TCGA-KICH",0.147174350657732,0.242033891323395
"TCGA-UVM",-0.0659209370976735,0.561262282489049
"TCGA-SKCM",0.293884920638864,0.00258646877368347
"TCGA-DLBC",0.262779648987272,0.0711592550418918
