"","R","Pvalues"
"TCGA-UCEC",0.422301604172269,3.06171716730906e-25
"TCGA-BRCA",0.381186300430931,1.96978880030991e-39
"TCGA-LGG",0.595533901819619,2.30683007563194e-50
"TCGA-CESC",0.494526927004242,3.72861394661688e-20
"TCGA-STAD",0.299565023516377,3.2560150556184e-09
"TCGA-ESCA",0.204127070688622,0.00939578106500373
"TCGA-THCA",0.237277259085216,7.4465679422655e-08
"TCGA-OV",0.326079926069269,1.03017561357198e-10
"TCGA-ACC",0.265961202548671,0.017832646687629
"TCGA-GBM",0.606820648120432,4.59975965446726e-17
"TCGA-HNSC",0.543688219619516,8.3793057394005e-40
"TCGA-PRAD",0.492515387912187,8.62222185132449e-32
"TCGA-LIHC",0.586348085627991,1.23156273635921e-35
"TCGA-BLCA",0.33017477241734,5.50247444119547e-12
"TCGA-COAD",0.522336440054537,8.15013589668671e-35
"TCGA-LUSC",0.400649152495926,8.86507919529976e-21
"TCGA-TGCT",-0.0209316685156776,0.799307964959847
"TCGA-KIRP",0.162471413959171,0.00571630487845595
"TCGA-KIRC",0.480202980091493,2.2010663299375e-32
"TCGA-PAAD",0.437510525601877,1.13493870349977e-09
"TCGA-MESO",0.514189108175376,4.10667465948962e-07
"TCGA-LUAD",0.468552211166733,1.92532582187643e-30
"TCGA-THYM",0.476572172936465,4.28216873687606e-08
"TCGA-SARC",0.426898294391156,6.780746725299e-13
"TCGA-CHOL",0.288454890338958,0.0879841590238879
"TCGA-UCS",0.440178194398227,0.000686766526801614
"TCGA-PCPG",0.150051784958854,0.04559001422328
"TCGA-READ",0.488250418802317,2.50822653361905e-11
"TCGA-KICH",0.666812839452096,1.32638232607945e-09
"TCGA-UVM",0.54163586917231,2.12356165643827e-07
"TCGA-SKCM",0.550033437255078,1.76564452303959e-09
"TCGA-DLBC",0.341734651276202,0.0174419449946361
