"","R","Pvalues"
"TCGA-UCEC",-0.0886078786067729,0.037590236448133
"TCGA-BRCA",-0.185633352584722,5.31844956209799e-10
"TCGA-LGG",-0.0625158199304578,0.158212432487349
"TCGA-CESC",-0.185567589643958,0.00115231039785274
"TCGA-STAD",-0.23762333314812,3.27128483472644e-06
"TCGA-ESCA",-0.145106297616767,0.0662720711508294
"TCGA-THCA",-0.24497410218686,2.69791193722855e-08
"TCGA-OV",-0.259354344205815,3.65355748245866e-07
"TCGA-ACC",0.119249674468721,0.295209917003618
"TCGA-GBM",-0.00352908732567778,0.965124471344238
"TCGA-HNSC",-0.363046015121432,5.05389474693748e-17
"TCGA-PRAD",0.0172904582016943,0.700302969424543
"TCGA-LIHC",-0.251188690433783,9.54942600483416e-07
"TCGA-BLCA",-0.0850408176363175,0.0839479233131281
"TCGA-COAD",-0.0360311385234974,0.431897306507777
"TCGA-LUSC",-0.180988451180352,4.52816408276704e-05
"TCGA-TGCT",0.0318635183635569,0.698696590078131
"TCGA-KIRP",-0.26691290521352,4.35727617499262e-06
"TCGA-KIRC",-0.19910684682859,3.25262168629348e-06
"TCGA-PAAD",-0.139202734879058,0.0646229762833823
"TCGA-MESO",-0.428797282284018,3.80273295135313e-05
"TCGA-LUAD",-0.223412469569461,1.87031834620002e-07
"TCGA-THYM",-0.325289885962862,0.000306522759886855
"TCGA-SARC",-0.302323542382555,7.1069721347387e-07
"TCGA-CHOL",-0.363314477438205,0.029406760077398
"TCGA-UCS",-0.374104831540935,0.00450665420997965
"TCGA-PCPG",0.120609245962072,0.108791024277896
"TCGA-READ",0.0849544882516108,0.276480423774859
"TCGA-KICH",0.160394022896337,0.201839373169442
"TCGA-UVM",0.155966883273671,0.167117417592606
"TCGA-SKCM",-0.0481332305494261,0.629225543092241
"TCGA-DLBC",-0.365507881465003,0.0106300913410756
