"","R","Pvalues"
"TCGA-UCEC",0.294346858981544,1.78388424212169e-12
"TCGA-BRCA",0.0562739701039254,0.0618384613719637
"TCGA-LGG",0.0440963344989092,0.319807223293555
"TCGA-CESC",0.242457190000229,1.92073677282691e-05
"TCGA-STAD",0.0344320136096192,0.506214106191241
"TCGA-ESCA",0.237139697933579,0.00245490697882313
"TCGA-THCA",0.105641167936867,0.0179011691161764
"TCGA-OV",0.0389735205648513,0.452367085707916
"TCGA-ACC",0.341323242361801,0.00208112568640534
"TCGA-GBM",0.0867047042124983,0.281810947323817
"TCGA-HNSC",0.156363441137484,0.000449371840670738
"TCGA-PRAD",0.111900211469034,0.0124638393386877
"TCGA-LIHC",0.211612301782552,3.97702202481134e-05
"TCGA-BLCA",0.129391575449505,0.00839248283536213
"TCGA-COAD",0.218043060735045,1.48929930195305e-06
"TCGA-LUSC",0.246199152574054,2.28803735392431e-08
"TCGA-TGCT",0.393973649422131,6.09914070456712e-07
"TCGA-KIRP",0.12882946085547,0.0288216678987841
"TCGA-KIRC",0.215896670094264,4.28627148543674e-07
"TCGA-PAAD",0.258692005986006,0.000507700610812393
"TCGA-MESO",0.175743559908247,0.1055431703711
"TCGA-LUAD",0.221458600809871,2.40394921976118e-07
"TCGA-THYM",0.0626967071780408,0.498159817780387
"TCGA-SARC",0.233101123199749,0.000153374320616962
"TCGA-CHOL",-0.0995289316653935,0.563577837323743
"TCGA-UCS",0.128769236860744,0.344234062661202
"TCGA-PCPG",0.119078565431183,0.113386928593235
"TCGA-READ",0.236283408599595,0.00217806689093206
"TCGA-KICH",0.33244132402829,0.00681723603419265
"TCGA-UVM",0.453201816094073,2.42778678392173e-05
"TCGA-SKCM",0.499830379797258,7.64839814746583e-08
"TCGA-DLBC",0.553670349834276,4.46409511269361e-05
