"","R","Pvalues"
"TCGA-UCEC",0.245592388279351,5.17352352806363e-09
"TCGA-BRCA",0.372224576277707,1.52809338145862e-37
"TCGA-LGG",0.401337735919668,3.3765617747146e-21
"TCGA-CESC",0.283708366627379,4.90543169481118e-07
"TCGA-STAD",0.198164139679673,0.000112004245229072
"TCGA-ESCA",0.268633007642773,0.000569861549447179
"TCGA-THCA",0.493657404011391,3.3886947405354e-32
"TCGA-OV",0.0541353522284488,0.29639783372629
"TCGA-ACC",0.337444693087492,0.0023563416309542
"TCGA-GBM",-0.196540437734783,0.0139293501981062
"TCGA-HNSC",0.407896133082639,1.81747826422458e-21
"TCGA-PRAD",0.439058218706859,6.96507663353487e-25
"TCGA-LIHC",0.237945978965511,3.57925604846603e-06
"TCGA-BLCA",0.187685298138112,0.000122296960654343
"TCGA-COAD",0.0976128484865387,0.032872239313757
"TCGA-LUSC",-0.133504543803326,0.00272483063504475
"TCGA-TGCT",0.0499747736006005,0.543636614065505
"TCGA-KIRP",0.424972169842163,4.65847986539457e-14
"TCGA-KIRC",0.460710673936204,1.26542386338252e-29
"TCGA-PAAD",0.613115126407872,1.1814020443208e-19
"TCGA-MESO",0.343828737626162,0.00118985187126048
"TCGA-LUAD",0.148408781970581,0.000587562898848232
"TCGA-THYM",0.545808505634197,1.36694101333677e-10
"TCGA-SARC",0.401999489959715,1.76713666805949e-11
"TCGA-CHOL",-0.0134222159057904,0.938071050565658
"TCGA-UCS",-0.000805390256817648,0.995299648205075
"TCGA-PCPG",0.444988483414431,4.86944756735357e-10
"TCGA-READ",-0.00903938164480613,0.907980182525286
"TCGA-KICH",0.613101377774365,5.66484467008379e-08
"TCGA-UVM",0.376836684050262,0.000570156438441981
"TCGA-SKCM",0.191449611161472,0.052715014401575
"TCGA-DLBC",0.406649080994398,0.00412855933468503
