"","R","Pvalues"
"TCGA-UCEC",-0.177906915231543,2.66742597932225e-05
"TCGA-BRCA",-0.110030659927672,0.000252617633228744
"TCGA-LGG",-0.207283689341732,2.29371718766406e-06
"TCGA-CESC",-0.151605020618173,0.00810280199007557
"TCGA-STAD",0.104205863276505,0.0437274059055315
"TCGA-ESCA",-0.126770656662011,0.109049976964212
"TCGA-THCA",-0.123199273154629,0.00571012213599496
"TCGA-OV",0.0294145005107423,0.570668038303592
"TCGA-ACC",0.209139074926877,0.0643492223681273
"TCGA-GBM",-0.172981739746878,0.0308136143300851
"TCGA-HNSC",-0.0876011093542602,0.0502672772521382
"TCGA-PRAD",-0.215921491967397,1.1511363958058e-06
"TCGA-LIHC",-0.276567619281043,6.12629102805673e-08
"TCGA-BLCA",-0.0770769369585813,0.117378567036143
"TCGA-COAD",-0.0285524996038467,0.533454155755654
"TCGA-LUSC",-0.134719051138807,0.00248877060050538
"TCGA-TGCT",0.261205096867152,0.00124409356085799
"TCGA-KIRP",-0.0460663001905758,0.436106564973151
"TCGA-KIRC",-0.131820677767485,0.00218525836891239
"TCGA-PAAD",0.077642120284076,0.304329125522658
"TCGA-MESO",-0.110388186550918,0.311626805538407
"TCGA-LUAD",-0.0276189009313128,0.524609433645721
"TCGA-THYM",-0.231287848076798,0.011379130077841
"TCGA-SARC",0.0110252697490835,0.859836704241243
"TCGA-CHOL",-0.132438107606333,0.441308279203258
"TCGA-UCS",-0.181361213732738,0.180995419623625
"TCGA-PCPG",0.00480983103269232,0.94919364583563
"TCGA-READ",-0.0674280717150014,0.388044966063103
"TCGA-KICH",0.0669459060889009,0.596210687643211
"TCGA-UVM",-0.315196618426763,0.00440212689231242
"TCGA-SKCM",-0.00939836418751023,0.924933624527438
"TCGA-DLBC",-0.279520976402729,0.0543450070371935
