"","R","Pvalues"
"TCGA-UCEC",-0.0348382197609408,0.414407645554767
"TCGA-BRCA",-0.12586173437468,2.78849444032623e-05
"TCGA-LGG",-0.236531130842547,6.27684932258225e-08
"TCGA-CESC",-0.0692421196814599,0.228686487015659
"TCGA-STAD",-0.0778186248965907,0.132529335592072
"TCGA-ESCA",-0.079795178602529,0.314317616967067
"TCGA-THCA",-0.448123381490423,3.62537421256092e-26
"TCGA-OV",-0.0778972245758204,0.132657708189026
"TCGA-ACC",0.0648320168835979,0.570270961875547
"TCGA-GBM",0.0435230566740777,0.589551132727971
"TCGA-HNSC",-0.0433860511643496,0.332959783056571
"TCGA-PRAD",-0.0970844074069119,0.0302957413621733
"TCGA-LIHC",-0.0313127910421173,0.547680715104673
"TCGA-BLCA",-0.124851485287485,0.0110022582844462
"TCGA-COAD",0.0215364007009393,0.638586121712084
"TCGA-LUSC",0.217319780544989,8.83933110763646e-07
"TCGA-TGCT",-0.0965111195994085,0.240046062878811
"TCGA-KIRP",-0.339901103058909,3.21106014187052e-09
"TCGA-KIRC",-0.233633811312581,4.19246918410599e-08
"TCGA-PAAD",0.0417717713168972,0.580920401337206
"TCGA-MESO",-0.0269615717391726,0.80535914113776
"TCGA-LUAD",0.0212249635467975,0.624897642469499
"TCGA-THYM",-0.0154939302866349,0.867177428758983
"TCGA-SARC",0.0838694462353147,0.178433444076644
"TCGA-CHOL",-0.268167025362858,0.113800869304649
"TCGA-UCS",0.0163415077342556,0.904848797554262
"TCGA-PCPG",-0.0857398262856844,0.255141518801632
"TCGA-READ",0.0339863059347351,0.663780379671711
"TCGA-KICH",0.130539468791886,0.299985180816299
"TCGA-UVM",-0.0528088020705835,0.641768721573569
"TCGA-SKCM",-0.129323209915871,0.192935500513528
"TCGA-DLBC",-0.228745448078648,0.117856345938924
