"","R","Pvalues"
"TCGA-UCEC",0.0767187668341254,0.0719534563934111
"TCGA-BRCA",-0.0252576492812632,0.402230268219925
"TCGA-LGG",-0.12967773192662,0.00331793988709981
"TCGA-CESC",0.0633135663941408,0.271128933105036
"TCGA-STAD",0.0763425583790355,0.140055075557393
"TCGA-ESCA",0.0481683168008648,0.543998578694825
"TCGA-THCA",-0.21220059255743,1.60803919387946e-06
"TCGA-OV",-0.136909860167487,0.00801722441625198
"TCGA-ACC",-0.0201007529841005,0.860427936292602
"TCGA-GBM",-0.246849777454445,0.00189267158238858
"TCGA-HNSC",0.235267031980426,1.02377756357274e-07
"TCGA-PRAD",0.0947149212924469,0.0345929914203771
"TCGA-LIHC",0.253697797008892,7.371462848231e-07
"TCGA-BLCA",0.115846594863914,0.0183763351782157
"TCGA-COAD",0.213150187980082,2.57513537883964e-06
"TCGA-LUSC",0.0745674648237994,0.0951431977633357
"TCGA-TGCT",-0.218580755322725,0.00720459163458407
"TCGA-KIRP",-0.114059481204849,0.0531684789630769
"TCGA-KIRC",0.10879022347967,0.0115698471513086
"TCGA-PAAD",0.349292733265762,1.88793217184156e-06
"TCGA-MESO",-0.119453260653652,0.27330554147005
"TCGA-LUAD",0.00206363656852696,0.962090065978089
"TCGA-THYM",-0.106053613109596,0.2509943704774
"TCGA-SARC",0.0689326642825285,0.269022898925803
"TCGA-CHOL",0.0740081207357635,0.667947532562972
"TCGA-UCS",-0.12341570958695,0.364830357928574
"TCGA-PCPG",-0.151515811549049,0.0434973763744327
"TCGA-READ",-0.00945925135001282,0.90372611482808
"TCGA-KICH",-0.334752544678986,0.00641821219862209
"TCGA-UVM",0.160270316219221,0.155567362265101
"TCGA-SKCM",0.146868232774784,0.138766746150922
"TCGA-DLBC",0.0488393624750829,0.741667063187686
