"","R","Pvalues"
"TCGA-UCEC",0.186331304282743,1.07006832324015e-05
"TCGA-BRCA",-0.159498941159107,1.02131503719579e-07
"TCGA-LGG",-0.0317901802165399,0.473344342021652
"TCGA-CESC",0.0257772713136625,0.654395027966594
"TCGA-STAD",-0.0189620918429061,0.714360329000376
"TCGA-ESCA",-0.0631277699938903,0.426291179775276
"TCGA-THCA",0.210305512968741,1.99938208893584e-06
"TCGA-OV",-0.054017348529111,0.29745349265593
"TCGA-ACC",0.0903840368002959,0.428261909723052
"TCGA-GBM",0.087126743567408,0.279466392861141
"TCGA-HNSC",-0.0706072227430892,0.114831799767587
"TCGA-PRAD",-0.0992418459873198,0.0267891403926396
"TCGA-LIHC",0.101923497531042,0.0498007120098602
"TCGA-BLCA",0.115910628650193,0.018311479381775
"TCGA-COAD",0.253974135483843,1.79440398915759e-08
"TCGA-LUSC",0.157133865063185,0.000409568791547513
"TCGA-TGCT",0.00246018106164031,0.976163612764936
"TCGA-KIRP",0.0825428602559071,0.162385936302456
"TCGA-KIRC",0.0177833869571748,0.680665082400561
"TCGA-PAAD",0.085544784957437,0.257587242749184
"TCGA-MESO",0.0647056930988117,0.553920189177894
"TCGA-LUAD",0.129790310770311,0.00268111012936528
"TCGA-THYM",0.0577889900735042,0.532449379495318
"TCGA-SARC",0.122988375341522,0.0480134500018627
"TCGA-CHOL",-0.129543096674688,0.451444358603381
"TCGA-UCS",0.243967253095056,0.0699870789070687
"TCGA-PCPG",0.124302538050395,0.0983030775012681
"TCGA-READ",0.323956791656713,2.06497570975758e-05
"TCGA-KICH",0.0496033057245812,0.694765120560677
"TCGA-UVM",0.359095364879422,0.00107118019752333
"TCGA-SKCM",0.410326988570306,1.6721756130157e-05
"TCGA-DLBC",0.246037510037227,0.0918560194459769
