"","R","Pvalues"
"TCGA-UCEC",-0.0528997233660679,0.215055285867515
"TCGA-BRCA",0.0186846093478652,0.535513495178726
"TCGA-LGG",-0.0189873802674282,0.668503273805305
"TCGA-CESC",-0.170930275997164,0.00278951202219306
"TCGA-STAD",-0.260502550906312,3.11466043070356e-07
"TCGA-ESCA",-0.228146184422849,0.00360524209055555
"TCGA-THCA",-0.394626827324797,3.73059011337732e-20
"TCGA-OV",-0.0324133193996061,0.532030331235239
"TCGA-ACC",-0.221672840793765,0.0496035104908337
"TCGA-GBM",-0.337466687053067,1.6464317920847e-05
"TCGA-HNSC",-0.208636585001477,2.53294244749599e-06
"TCGA-PRAD",-0.306213101864688,2.85399461622706e-12
"TCGA-LIHC",-0.0794478380106702,0.126630533416255
"TCGA-BLCA",-0.203721783547677,2.96066265017703e-05
"TCGA-COAD",-0.531371810447274,3.48005603005631e-36
"TCGA-LUSC",-0.118930933888084,0.00764131827342004
"TCGA-TGCT",-0.214519457329158,0.00838651652588995
"TCGA-KIRP",-0.431278531659942,1.78423777647166e-14
"TCGA-KIRC",-0.433716113254312,4.38356775723483e-26
"TCGA-PAAD",-0.283285909134361,0.000133052921016203
"TCGA-MESO",-0.367660659310214,0.000496815261798387
"TCGA-LUAD",-0.294767570488253,3.80781244588436e-12
"TCGA-THYM",-0.128217213786542,0.164630893402133
"TCGA-SARC",0.109387246759297,0.0788866981060575
"TCGA-CHOL",0.220331327985271,0.196610242342947
"TCGA-UCS",-0.219784520775956,0.103611665227118
"TCGA-PCPG",-0.265275148066645,0.00034542868725252
"TCGA-READ",-0.36638890385952,1.20497477846476e-06
"TCGA-KICH",-0.388310554298927,0.00139180226833572
"TCGA-UVM",-0.319236345040341,0.00389763281143334
"TCGA-SKCM",-0.421280647102241,9.36160549727118e-06
"TCGA-DLBC",0.287556366768337,0.0475003320462304
