"","R","Pvalues"
"TCGA-UCEC",0.496897591738577,1.06715327272429e-35
"TCGA-BRCA",0.387545209989156,8.26549010551928e-41
"TCGA-LGG",0.33761861764304,4.33666524938896e-15
"TCGA-CESC",0.371936387920613,2.08257876996062e-11
"TCGA-STAD",0.169707935191292,0.000969011421008618
"TCGA-ESCA",0.10895912068675,0.168863844842318
"TCGA-THCA",0.616379130059284,7.45339793182594e-54
"TCGA-OV",0.269030291047688,1.27017066914337e-07
"TCGA-ACC",0.207012444412419,0.067171826634602
"TCGA-GBM",0.396160641640739,3.06704290669361e-07
"TCGA-HNSC",0.538106107275073,7.09143889839015e-39
"TCGA-PRAD",0.577358502206929,1.31413393624578e-45
"TCGA-LIHC",0.279955051381666,4.15429960586369e-08
"TCGA-BLCA",0.37752949517996,1.79652879275976e-15
"TCGA-COAD",0.446345417814129,8.81573373362948e-25
"TCGA-LUSC",0.339507820453015,5.22656773951494e-15
"TCGA-TGCT",-0.0277065277492804,0.736448449538836
"TCGA-KIRP",0.456827354849978,2.9618153153161e-16
"TCGA-KIRC",0.625600333108648,8.81467339608273e-60
"TCGA-PAAD",0.450558793385237,3.12135648323933e-10
"TCGA-MESO",0.45994472778149,8.37880103603393e-06
"TCGA-LUAD",0.496045410097634,1.879148548375e-34
"TCGA-THYM",0.584987926183104,2.82544573338558e-12
"TCGA-SARC",0.506995344141268,2.5442767158586e-18
"TCGA-CHOL",0.244747007563297,0.15025198360319
"TCGA-UCS",0.375886757865925,0.00430442998034014
"TCGA-PCPG",0.406940939087679,1.73139957651812e-08
"TCGA-READ",0.439092756994997,3.26064220476324e-09
"TCGA-KICH",0.598060794406969,1.43468025041125e-07
"TCGA-UVM",0.479978159600396,6.62973588390942e-06
"TCGA-SKCM",0.377245263544064,8.56340345990485e-05
"TCGA-DLBC",0.448496229501786,0.00138840247242493
