"","R","Pvalues"
"TCGA-UCEC",-0.466870989815836,3.5483648321789e-31
"TCGA-BRCA",-0.440240636724921,1.88740802874052e-53
"TCGA-LGG",-0.32966876906466,2.02748320725186e-14
"TCGA-CESC",-0.57806300962745,1.68253138541968e-28
"TCGA-STAD",-0.240128120288431,2.55698322694267e-06
"TCGA-ESCA",-0.0950838085367763,0.230217809854807
"TCGA-THCA",-0.700299891982884,3.22972974859182e-75
"TCGA-OV",-0.0443276711609225,0.392657986110406
"TCGA-ACC",-0.324579733190141,0.00351833224022076
"TCGA-GBM",-0.0123308293674245,0.878572424199045
"TCGA-HNSC",-0.542314652611085,1.4225056503606e-39
"TCGA-PRAD",-0.477291946063105,1.06713183280385e-29
"TCGA-LIHC",-0.46031202185873,7.43687311271372e-21
"TCGA-BLCA",-0.459021311503876,5.75916182443567e-23
"TCGA-COAD",-0.332226172938645,8.82645730693331e-14
"TCGA-LUSC",-0.12150575344137,0.00641655276811577
"TCGA-TGCT",-0.384735010164282,1.16769063232949e-06
"TCGA-KIRP",-0.509888073811736,1.83245961549733e-20
"TCGA-KIRC",-0.545129188943487,5.69291876791053e-43
"TCGA-PAAD",-0.544908441253992,4.47178742310792e-15
"TCGA-MESO",-0.469529328484731,5.10229058807535e-06
"TCGA-LUAD",-0.233646747163976,4.83696353708999e-08
"TCGA-THYM",-0.536992769693493,3.05878223121768e-10
"TCGA-SARC",-0.358778125975262,2.76178110583878e-09
"TCGA-CHOL",-0.517205007744922,0.00123748791544881
"TCGA-UCS",-0.295422165461378,0.0270726522326637
"TCGA-PCPG",-0.469508253998986,3.81540408784301e-11
"TCGA-READ",-0.347296386376792,4.55509970479513e-06
"TCGA-KICH",-0.642150829562016,8.14530995418021e-09
"TCGA-UVM",-0.431024612813124,6.57124924370037e-05
"TCGA-SKCM",-0.437602140402094,3.79569356521374e-06
"TCGA-DLBC",-0.594474839680431,8.38341192250093e-06
