"","R","Pvalues"
"TCGA-UCEC",0.348832226161744,3.2807908079884e-17
"TCGA-BRCA",0.189415744470968,2.32398127576796e-10
"TCGA-LGG",0.200076898592762,5.16701166688696e-06
"TCGA-CESC",0.157295071315077,0.0059893494903954
"TCGA-STAD",-0.0756925608141644,0.143471163841819
"TCGA-ESCA",-0.105226652232391,0.184024773821686
"TCGA-THCA",0.423145249386361,3.16806037049232e-23
"TCGA-OV",0.0829170881910202,0.109392350100468
"TCGA-ACC",-0.154252301075182,0.174682567249386
"TCGA-GBM",0.248655598367045,0.00174781764020011
"TCGA-HNSC",0.0855420182432198,0.0559409842371911
"TCGA-PRAD",0.414749148159617,3.9941517529259e-22
"TCGA-LIHC",-0.0234792716151026,0.652149009068376
"TCGA-BLCA",0.230765000410434,2.08119852533696e-06
"TCGA-COAD",0.463564041708876,7.70527139022116e-27
"TCGA-LUSC",0.146625036201897,0.000984845172150945
"TCGA-TGCT",-0.0241014629372726,0.769709704746889
"TCGA-KIRP",0.068333436051159,0.247695385110878
"TCGA-KIRC",0.315399077215433,6.8538407218487e-14
"TCGA-PAAD",0.221584992528893,0.00303623128179981
"TCGA-MESO",0.0176886286231986,0.871581599455253
"TCGA-LUAD",0.219563349778406,3.05995766449163e-07
"TCGA-THYM",0.317319066943201,0.000437547974791879
"TCGA-SARC",0.135013891356862,0.0298338869812323
"TCGA-CHOL",-0.0754462650657038,0.661874904347294
"TCGA-UCS",0.0834274233746599,0.541001106624332
"TCGA-PCPG",0.175614022467448,0.0190409480362819
"TCGA-READ",0.327157091960494,1.69057922576314e-05
"TCGA-KICH",0.476151762353204,6.09488886544312e-05
"TCGA-UVM",0.637838383998158,1.97680460675322e-10
"TCGA-SKCM",0.294980091221196,0.00248804123817404
"TCGA-DLBC",0.128407671680652,0.384413739555411
