"","R","Pvalues"
"TCGA-UCEC",0.413300485169901,3.8144746864365e-24
"TCGA-BRCA",0.458442646554832,2.30137891636251e-58
"TCGA-LGG",0.430781540741581,1.66866336411032e-24
"TCGA-CESC",0.215823661890738,0.000149257963196575
"TCGA-STAD",0.231375935966381,5.9771461277274e-06
"TCGA-ESCA",-0.0587535426199638,0.459099828626353
"TCGA-THCA",0.363708635691391,3.80529308730793e-17
"TCGA-OV",0.168432894197919,0.00107614195916702
"TCGA-ACC",0.103954219626809,0.361920668303427
"TCGA-GBM",0.0417593883188431,0.604733406903566
"TCGA-HNSC",0.443788259952214,1.52626430908764e-25
"TCGA-PRAD",0.521583271926583,4.32185114482079e-36
"TCGA-LIHC",0.0396663609856156,0.446209409844671
"TCGA-BLCA",0.470876783415798,3.09837416641321e-24
"TCGA-COAD",0.517351024504837,4.46092504275422e-34
"TCGA-LUSC",0.0669352386721452,0.134224408146081
"TCGA-TGCT",-0.00415221467791232,0.959780659089167
"TCGA-KIRP",0.23524168187455,5.54122631417644e-05
"TCGA-KIRC",0.548379906197121,1.45420680483499e-43
"TCGA-PAAD",0.344457131908697,2.66981827811527e-06
"TCGA-MESO",0.231174169876613,0.0322297061989079
"TCGA-LUAD",0.263293358129455,6.67580926439151e-10
"TCGA-THYM",0.340279218827351,0.000152804890639084
"TCGA-SARC",0.184136052438272,0.00293436536643167
"TCGA-CHOL",0.139092227463356,0.418489582424072
"TCGA-UCS",0.322042072277476,0.0155010939496371
"TCGA-PCPG",0.302919994368281,3.95713938134482e-05
"TCGA-READ",0.403324819122767,7.13054664130613e-08
"TCGA-KICH",0.316975950219572,0.0100918046429596
"TCGA-UVM",0.615513836934705,1.23376452845777e-09
"TCGA-SKCM",0.397437446767886,3.22603204475348e-05
"TCGA-DLBC",0.331281407732496,0.0214450516409364
