"","R","Pvalues"
"TCGA-UCEC",-0.320169140584903,1.3390243141834e-14
"TCGA-BRCA",-0.285655453364257,3.87932447458676e-22
"TCGA-LGG",-0.258618119430592,2.97348017232486e-09
"TCGA-CESC",-0.163744525352714,0.00420223868257719
"TCGA-STAD",-0.125164902534731,0.0152973961386905
"TCGA-ESCA",-0.00196463419087025,0.980266977457535
"TCGA-THCA",-0.463918918094018,3.71169654349871e-28
"TCGA-OV",-0.144220771081682,0.00519987384638109
"TCGA-ACC",-0.143509811550461,0.20703707870915
"TCGA-GBM",-0.292366565873587,0.000212607875588611
"TCGA-HNSC",-0.161583247284209,0.000285696577781347
"TCGA-PRAD",-0.289177675998737,4.76479716571736e-11
"TCGA-LIHC",-0.298202377525001,4.678691758621e-09
"TCGA-BLCA",-0.25561474393684,1.3412415983741e-07
"TCGA-COAD",-0.510505077102005,4.40066616636292e-33
"TCGA-LUSC",-0.16422689408918,0.000219445991600416
"TCGA-TGCT",-0.285970182334442,0.000388927798927001
"TCGA-KIRP",-0.297982727489237,2.57085039549647e-07
"TCGA-KIRC",-0.536874147915949,1.70496645442487e-41
"TCGA-PAAD",-0.387584391885494,9.83455098941618e-08
"TCGA-MESO",-0.402484974889548,0.0001221929942026
"TCGA-LUAD",-0.300363127539407,1.41756462121239e-12
"TCGA-THYM",-0.463338081444171,1.11869853361207e-07
"TCGA-SARC",-0.26581497726591,1.45466011794008e-05
"TCGA-CHOL",0.0115800105682632,0.946557708616814
"TCGA-UCS",-0.408310209271644,0.00178421665685804
"TCGA-PCPG",-0.324881748078553,9.66453729848941e-06
"TCGA-READ",-0.489984570452586,2.08203181694071e-11
"TCGA-KICH",-0.207758617414674,0.0967781917534766
"TCGA-UVM",-0.441821899841629,4.08181007425515e-05
"TCGA-SKCM",-0.357656581580421,0.000208088917934007
"TCGA-DLBC",-0.411962903282958,0.00362196524220251
