"","R","Pvalues"
"TCGA-UCEC",-0.125429141314945,0.00318581433956469
"TCGA-BRCA",-0.253282652453228,1.36416564591976e-17
"TCGA-LGG",0.106189474877411,0.0163342392453749
"TCGA-CESC",-0.22100096274972,0.000102093945328313
"TCGA-STAD",-0.191532777058542,0.000190543350185004
"TCGA-ESCA",0.0273890222373787,0.73018115502044
"TCGA-THCA",-0.279288142100704,1.90111998487899e-10
"TCGA-OV",0.0108373027099237,0.834535644554822
"TCGA-ACC",-0.252036062324237,0.0250425901461406
"TCGA-GBM",0.0985987602563166,0.220733472814474
"TCGA-HNSC",-0.297457344788913,1.129363222549e-11
"TCGA-PRAD",-0.252843212929151,1.05604540036839e-08
"TCGA-LIHC",-0.157756916227424,0.0023078152863159
"TCGA-BLCA",-0.0950524312328559,0.0532903171044361
"TCGA-COAD",-0.270930134978676,1.73487930619421e-09
"TCGA-LUSC",0.132921187402365,0.00284531509734999
"TCGA-TGCT",-0.122589451604582,0.135047370126034
"TCGA-KIRP",0.00240876387045519,0.967534774799017
"TCGA-KIRC",-0.035928212966431,0.405590199311246
"TCGA-PAAD",-0.104522328524346,0.166198691373596
"TCGA-MESO",-0.179861845137352,0.0974979537503193
"TCGA-LUAD",0.0681003791370646,0.116333334422009
"TCGA-THYM",-0.121620825237564,0.187631035007745
"TCGA-SARC",-0.12656132681016,0.0418357404791548
"TCGA-CHOL",-0.331979573528023,0.0479194692712478
"TCGA-UCS",-0.362072103581031,0.00610473514086577
"TCGA-PCPG",-0.0534534218768685,0.47854787437708
"TCGA-READ",-0.266103860360643,0.000529648021196997
"TCGA-KICH",-0.305983328908179,0.0131818557256633
"TCGA-UVM",-0.111963459865446,0.322768895577944
"TCGA-SKCM",-0.0324246449867363,0.745072373725622
"TCGA-DLBC",-0.330546746766462,0.0217533348641195
