"","R","Pvalues"
"TCGA-UCEC",0.245806525321539,5.01276781095694e-09
"TCGA-BRCA",0.415378968076669,3.32487863147308e-47
"TCGA-LGG",0.324796737582724,5.10385235600811e-14
"TCGA-CESC",-0.118025908335087,0.039727821339992
"TCGA-STAD",0.257286898925228,4.39530016817453e-07
"TCGA-ESCA",-0.142877922429181,0.0705941184151274
"TCGA-THCA",0.368591780082019,1.33780510250565e-17
"TCGA-OV",0.122778468075548,0.0175266927112138
"TCGA-ACC",0.300866863972379,0.00705427528683444
"TCGA-GBM",0.0673127286929402,0.403761865487593
"TCGA-HNSC",0.161328167541181,0.000292184828756596
"TCGA-PRAD",0.278472078459321,2.54441571991495e-10
"TCGA-LIHC",0.022626199572057,0.664000647723924
"TCGA-BLCA",0.0870314939341551,0.076921849983955
"TCGA-COAD",0.266034984512428,3.46399617737042e-09
"TCGA-LUSC",0.0540498945657773,0.226712010455055
"TCGA-TGCT",0.0681210881275019,0.407504651645841
"TCGA-KIRP",0.00145683219608874,0.980361452892145
"TCGA-KIRC",0.524027198468728,2.81679518674257e-39
"TCGA-PAAD",0.338133567560425,4.16418688002076e-06
"TCGA-MESO",0.30033143015937,0.00496068839838872
"TCGA-LUAD",0.252269933255318,3.50047437688704e-09
"TCGA-THYM",0.19545653870003,0.033149738979194
"TCGA-SARC",0.0575107189200096,0.356615291710802
"TCGA-CHOL",-0.0429096320977328,0.803758399397344
"TCGA-UCS",0.295836643449422,0.0268482842267324
"TCGA-PCPG",0.35327017589771,1.31890248369468e-06
"TCGA-READ",0.307846598783787,5.46525612562193e-05
"TCGA-KICH",0.539049021907597,3.60953653275771e-06
"TCGA-UVM",0.617790609928818,1.0303467992792e-09
"TCGA-SKCM",0.471297254213556,5.04386387355297e-07
"TCGA-DLBC",-0.0182288988322356,0.902127218063459
