"","R","Pvalues"
"TCGA-UCEC",-0.16294703931676,0.000122065788722326
"TCGA-BRCA",-0.0370118874843491,0.219564441156575
"TCGA-LGG",0.0486745006696369,0.272091577895752
"TCGA-CESC",-0.248937250444364,1.12405769326437e-05
"TCGA-STAD",-0.043221100438082,0.403960496808785
"TCGA-ESCA",-0.0445762923005044,0.574469128819381
"TCGA-THCA",-0.406635654839638,2.06317827403263e-21
"TCGA-OV",-0.265383431697285,1.90083822997222e-07
"TCGA-ACC",0.046972771524788,0.681017181138696
"TCGA-GBM",-0.421151427912248,4.38295189814136e-08
"TCGA-HNSC",0.0491157740494985,0.273002222159423
"TCGA-PRAD",-0.018159465587811,0.686021504440098
"TCGA-LIHC",-0.185851097378754,0.000319357576947591
"TCGA-BLCA",-0.21338205272847,1.19175250934517e-05
"TCGA-COAD",-0.160720071726289,0.00041932110539684
"TCGA-LUSC",-0.193457841618179,1.27128995731848e-05
"TCGA-TGCT",0.00970021839288117,0.90621673645841
"TCGA-KIRP",-0.334608722512794,5.79757018464142e-09
"TCGA-KIRC",-0.358471430318207,9.30706814895063e-18
"TCGA-PAAD",0.00554086773145849,0.9416511718006
"TCGA-MESO",-0.0993043192911518,0.362988196124224
"TCGA-LUAD",-0.299655584213905,1.60813032089578e-12
"TCGA-THYM",-0.3480778546689,0.000104875079190919
"TCGA-SARC",-0.0893505848319573,0.151607763483878
"TCGA-CHOL",0.13777553487358,0.422951416290844
"TCGA-UCS",0.00768552380503221,0.955169082734324
"TCGA-PCPG",-0.303346716934377,3.85426947518747e-05
"TCGA-READ",-0.123893838348556,0.111759998340994
"TCGA-KICH",-0.110836112898372,0.379421223505258
"TCGA-UVM",-0.387045913362568,0.000390156274380618
"TCGA-SKCM",-0.0152413214735879,0.878553158654185
"TCGA-DLBC",0.398261643291424,0.00505489950308214
