"","R","Pvalues"
"TCGA-UCEC",-0.307950688499223,1.43946343476422e-13
"TCGA-BRCA",-0.380153583727526,3.27502885662369e-39
"TCGA-LGG",-0.478673033500731,1.26625508765554e-30
"TCGA-CESC",-0.0932097629533256,0.104802149337477
"TCGA-STAD",-0.439140758846558,4.130286591731e-19
"TCGA-ESCA",-0.165777242098847,0.0355837789601733
"TCGA-THCA",-0.344913850259898,1.80534810150161e-15
"TCGA-OV",-0.292963311963545,7.74826211425565e-09
"TCGA-ACC",-0.139362021849744,0.220604996890539
"TCGA-GBM",-0.491050317358746,7.60073598061787e-11
"TCGA-HNSC",-0.302176195535815,5.12934732964736e-12
"TCGA-PRAD",-0.389184635793687,1.85870301703501e-19
"TCGA-LIHC",0.203732713386435,7.73525149339517e-05
"TCGA-BLCA",-0.255268778894782,1.39628542255449e-07
"TCGA-COAD",-0.617289009153133,1.53354313605757e-51
"TCGA-LUSC",-0.396175889643132,2.58503705337571e-20
"TCGA-TGCT",0.00261849899124131,0.974630186413632
"TCGA-KIRP",-0.215118250332478,0.000235113522586344
"TCGA-KIRC",-0.520773213496217,9.92311700640444e-39
"TCGA-PAAD",-0.606618029727131,3.60070697368563e-19
"TCGA-MESO",-0.00835589228320823,0.939135261286129
"TCGA-LUAD",-0.51940565333828,3.69925693035263e-38
"TCGA-THYM",0.409002295486397,3.86990124039557e-06
"TCGA-SARC",-0.024966098801746,0.689222649070844
"TCGA-CHOL",-0.434214337675182,0.00814410649324124
"TCGA-UCS",-0.207377495508684,0.1251294112776
"TCGA-PCPG",-0.178569272216164,0.0170871687865402
"TCGA-READ",-0.428160704507726,8.69898917551716e-09
"TCGA-KICH",-0.545894016312087,2.56152980747066e-06
"TCGA-UVM",-0.454870220095032,2.24620492156099e-05
"TCGA-SKCM",-0.367283869622373,0.000135461733264495
"TCGA-DLBC",0.0797392139315536,0.590062000922105
