"","R","Pvalues"
"TCGA-UCEC",-0.463852478846514,9.55653213237567e-31
"TCGA-BRCA",-0.324913010781025,1.64819004342601e-28
"TCGA-LGG",-0.452268936176995,3.94544754461624e-27
"TCGA-CESC",-0.467461658931283,6.56791494239143e-18
"TCGA-STAD",-0.108529875767575,0.0356528343511872
"TCGA-ESCA",-0.0802379232029986,0.311631484486186
"TCGA-THCA",-0.670625054573374,7.36365959154052e-67
"TCGA-OV",-0.133245427524262,0.0098877300934194
"TCGA-ACC",-0.333826444383007,0.00264208584588326
"TCGA-GBM",-0.178016218538194,0.0261936005161597
"TCGA-HNSC",-0.581809998774239,1.25345095958534e-46
"TCGA-PRAD",-0.563922162648728,3.78564254811048e-43
"TCGA-LIHC",-0.450447803636628,6.14884924081776e-20
"TCGA-BLCA",-0.450289967176085,4.61249989729552e-22
"TCGA-COAD",-0.476780540079089,1.68080980322963e-28
"TCGA-LUSC",-0.183279840593679,3.60781790938352e-05
"TCGA-TGCT",-0.259721438377803,0.00132930469030353
"TCGA-KIRP",-0.594243057136127,6.98270734268927e-29
"TCGA-KIRC",-0.736483645415693,4.75872208176256e-93
"TCGA-PAAD",-0.578211320482161,3.53357105178055e-17
"TCGA-MESO",-0.370838816231084,0.000439915733019116
"TCGA-LUAD",-0.383542964936105,4.01344472979974e-20
"TCGA-THYM",-0.58786891627916,2.08067850081355e-12
"TCGA-SARC",-0.264715363368379,1.5827858542425e-05
"TCGA-CHOL",-0.374678837044749,0.0243566712747761
"TCGA-UCS",-0.272653450055435,0.0420496018900144
"TCGA-PCPG",-0.588967244227928,5.28734012636177e-18
"TCGA-READ",-0.433283080025343,5.51648873785272e-09
"TCGA-KICH",-0.609727256757713,7.00730546355291e-08
"TCGA-UVM",-0.364219362354813,0.000896094960969497
"TCGA-SKCM",-0.297081152371126,0.00230860770780421
"TCGA-DLBC",-0.492448223242786,0.000377361346459744
