"","R","Pvalues"
"TCGA-UCEC",-0.206380487423889,1.02828860450084e-06
"TCGA-BRCA",-0.0215676266845383,0.474462058200809
"TCGA-LGG",-0.0208721965647846,0.63784193492133
"TCGA-CESC",-0.198869972051149,0.000486583787474508
"TCGA-STAD",-0.0787404805311374,0.127989936212144
"TCGA-ESCA",-0.193880080009848,0.0137272151107056
"TCGA-THCA",-0.43440976470621,1.6013238539394e-24
"TCGA-OV",-0.117058761729431,0.0235729068650927
"TCGA-ACC",-0.162709801232721,0.151940163009621
"TCGA-GBM",-0.179249126359766,0.0251571432730291
"TCGA-HNSC",-0.204008206872154,4.24938347730843e-06
"TCGA-PRAD",-0.265744411938846,1.70076571602075e-09
"TCGA-LIHC",-0.0410325917897628,0.430691770250606
"TCGA-BLCA",-0.290295834694572,1.756226723546e-09
"TCGA-COAD",0.0687559839076576,0.133338074020407
"TCGA-LUSC",-0.133829709075084,0.0026597073320734
"TCGA-TGCT",-0.396686835411572,5.0210330824783e-07
"TCGA-KIRP",-0.499339022741885,1.44207242500171e-19
"TCGA-KIRC",-0.431455185024583,8.39726758210857e-26
"TCGA-PAAD",-0.186727797311412,0.0128255085286569
"TCGA-MESO",-0.195308865170839,0.0715274614939326
"TCGA-LUAD",-0.19275467273949,7.40384985077898e-06
"TCGA-THYM",-0.0797476026344868,0.388613071663475
"TCGA-SARC",-0.156001454007304,0.011941388316501
"TCGA-CHOL",0.00323259260844857,0.985071594947155
"TCGA-UCS",-0.0426289562637081,0.755076425420345
"TCGA-PCPG",-0.361856785572133,6.94185337422015e-07
"TCGA-READ",0.0681583148555976,0.382914936439704
"TCGA-KICH",-0.101804201726783,0.419697754501908
"TCGA-UVM",0.165798754370459,0.141615003972853
"TCGA-SKCM",-0.106529085771579,0.284165567844157
"TCGA-DLBC",0.0145765711753466,0.921668233134108
