	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.000277372882091776	1.00027741135351	0.15784101806311	0.0017572927841917	0.998597883940324	0.734118119324342	1.3629344833294
BRCA	-0.0665701682484886	0.935597264331703	0.189846125352373	-0.350653288946129	0.725848472989416	0.644898888465628	1.3573325317828
CESC	0.316227647115697	1.37194253884138	0.252608051768175	1.25185101940419	0.210624155370768	0.836210388599342	2.25090043790925
CHOL	0.312262859466984	1.36651384692534	0.509516304778626	0.612861367807761	0.539968009335696	0.503399722549086	3.70949766198294
COAD	-0.13651675560046	0.872391702690344	0.208811785134939	-0.653778978577478	0.513254211673138	0.579389489567521	1.31356763736092
ESCA	-0.199063281533456	0.819498032599862	0.257212572678869	-0.773925160268069	0.438975049804919	0.495003393760599	1.35671196177666
GBM	-0.306524565744909	0.736000437558277	0.337825602726257	-0.907345574969014	0.364224080501715	0.379594925580009	1.42703868672185
HNSC	0.13185020357314	1.14093739812036	0.118912957025667	1.10879593671765	0.26751822376198	0.90373878996974	1.44039202574589
KICH	0.00600739043204532	1.00602547098947	0.638051494135288	0.00941521254516733	0.992487858260868	0.288070349852229	3.51333363117292
KIRC	-0.301622414975918	0.739617280581083	0.195286362459807	-1.54451345796354	0.122463993534461	0.50440455113215	1.08451385005612
KIRP	0.994400030480161	2.7031020758187	0.298981722423533	3.32595592272196	0.000881158615949237	1.50441876732689	4.85686631341236
LIHC	0.243714092538708	1.27597946628338	0.177019856068494	1.37676133034708	0.168586050063107	0.901911887035981	1.80519141811894
LUAD	-0.137038031430572	0.87193706448759	0.17969919917089	-0.762596784308715	0.445703902953766	0.613090947251289	1.24006764059366
LUSC	-0.10127074751284	0.903688328393497	0.16003096448321	-0.632819703610957	0.526851388225417	0.660389362775235	1.23662287872523
PAAD	0.298062616518485	1.3472461451016	0.281930457161608	1.05722034972486	0.290411034565803	0.775295582426099	2.3411357121516
PCPG	-0.341159896214246	0.710945221668147	0.949446905808847	-0.359324880756347	0.719352063373174	0.110577169325325	4.57095358197971
PRAD	0.609004383725811	1.83859994719227	0.73063738353405	0.833524806491687	0.404548813426034	0.439104183613223	7.69851413848754
READ	0.385135750420275	1.46981383574469	0.477548042564478	0.806485873865297	0.419962749890356	0.576464676263414	3.74758905567243
SARC	-0.117413917239334	0.889217054710787	0.202854072549664	-0.578809760945708	0.562717544196181	0.597500239969505	1.3233584147663
STAD	0.22804161596467	1.25613759972258	0.222842791865726	1.02332955917227	0.306152052304057	0.811620647954222	1.94411228129057
THCA	1.44605168556888	4.2463155841614	0.844682113724756	1.71194779914576	0.0869062888061473	0.810993827624073	22.2334565641727
THYM	-0.471146239211721	0.624286276602643	0.513260848556412	-0.917946966999058	0.35864663111321	0.22829445429271	1.70715209163465
UCEC	0.020544613426781	1.02075710669981	0.235310366116969	0.0873085778829167	0.930426235895293	0.643614567737109	1.61889603360216
