	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.175538535631111	1.19188791791943	0.0944164765231438	1.8591938832634	0.0629996615241308	0.990530760397788	1.43417737810769
BRCA	0.042416080453463	1.0433284970454	0.111270353757105	0.381198396709103	0.70305603871166	0.838894936140056	1.29758126536751
CESC	0.329817735747106	1.3907146277998	0.175739578124803	1.87674136507192	0.0605535502851111	0.985480925195067	1.96258205159426
CHOL	-0.267337664637762	0.76541457439017	0.350324993429712	-0.763113308075747	0.445395824018026	0.385211773592175	1.52087633569876
COAD	-0.0737968412445577	0.928860380792877	0.159738998149864	-0.461983874315545	0.644092884527906	0.679172913663896	1.27034160174658
ESCA	-0.207501403492911	0.812612101276974	0.216312573204437	-0.959266493015186	0.337424510671957	0.531811457114353	1.24167770044824
GBM	0.0921137897297787	1.09648958423585	0.180341150385165	0.510775214270541	0.609508466669309	0.770012623621107	1.56138921811925
HNSC	0.0305128125873092	1.03098309952513	0.0893653728175535	0.341438877557234	0.732773211569285	0.865333671009117	1.22834253088397
KICH	-0.763973287355951	0.465811940552198	0.554180516887672	-1.37856395899028	0.168029235188224	0.157214031920538	1.3801615626185
KIRC	0.121957832882	1.12970646431017	0.128436479089809	0.949557584778711	0.34233709904455	0.878294745694796	1.45308474377197
KIRP	0.646404219520996	1.90866533348863	0.257805664917331	2.50733132543179	0.0121646625405619	1.15155637996482	3.16354754195584
LIHC	0.170023912938463	1.18533319578123	0.121600435036845	1.39821796597148	0.162047623289885	0.933972242413613	1.50434319267353
LUAD	0.241861154714507	1.27361734477538	0.111177005806211	2.17546023083304	0.0295956451978172	1.02424753154049	1.5837003175131
LUSC	0.0555553227722941	1.05712749867862	0.116512516366135	0.476818495600199	0.633491374069772	0.841301641690785	1.32832089358177
PAAD	0.651599418869211	1.91860703257884	0.173252769014999	3.76097549594028	0.000169252011497148	1.36619599439268	2.69438130441696
PCPG	0.377869690744593	1.45917278676716	0.475748370119775	0.794263763109604	0.427041895004128	0.574313433446507	3.70735751184577
PRAD	-0.569102057059921	0.56603347633492	0.528106679174639	-1.07762707706964	0.281200213532674	0.201055934561176	1.59355602723732
READ	-0.163795890675059	0.848915275722103	0.309139638938364	-0.529844348778955	0.596219853749062	0.463152711331633	1.55598170478661
SARC	0.333795334777933	1.396257349009	0.132792643777913	2.5136583268587	0.0119486131480841	1.07629709644062	1.81133498465143
STAD	0.0451056079185767	1.04613833456717	0.147345675614812	0.306121015973967	0.759512507111311	0.783733210272603	1.39640045962875
THCA	0.547249948989921	1.72849303175709	0.474484121621617	1.15335777121396	0.248763566814896	0.682002578315492	4.3807578678254
THYM	0.0204304963868047	1.02064062756652	0.495799748076285	0.0412071536261879	0.967130750749371	0.386231189072427	2.6971081572701
UCEC	0.0837479674256183	1.08735481043917	0.139832819940364	0.598914957599619	0.549229596441847	0.82669510860363	1.43020137833195
