	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.276954128736242	0.758089270825839	0.145154661540023	-1.90799334859721	0.0563920759619418	0.570380248724288	1.00757230606534
BRCA	-0.131633005689891	0.876662666260419	0.140310828454061	-0.938152864894447	0.348165857430137	0.6658857457405	1.15415810494663
CESC	-0.584986562142032	0.557113348171918	0.224091684721376	-2.61047866577188	0.00904156113673537	0.359084266133746	0.864352220310654
CHOL	-0.338360376267839	0.712938315548339	0.497281357328805	-0.680420392361728	0.496238312477936	0.269008062740763	1.88946396847117
COAD	0.127955405932799	1.13650232030616	0.152358801065181	0.8398294357676	0.401004026625448	0.843106194422498	1.53199861726317
ESCA	0.146654937164196	1.15795432708023	0.236961706103576	0.618897203162832	0.535984081120077	0.727761806997103	1.84244104418792
GBM	0.0697682560983161	1.07225966282113	0.174115985972956	0.400699888114538	0.688641093184295	0.762240767357987	1.5083695778939
HNSC	-0.373336172257842	0.688433761607018	0.133226113653379	-2.80227473443508	0.0050743640300682	0.530224616860625	0.893849566861902
KICH	0.395367371649625	1.48492961176975	0.752625234630139	0.525317719175228	0.599362341624628	0.339680101545903	6.49144869503843
KIRC	0.385957784025485	1.47102256885263	0.143237663713667	2.69452722153453	0.00704885685744421	1.11095179615511	1.94779593998843
KIRP	-0.578629845357037	0.560666039707301	0.350445678726024	-1.65112563938734	0.0987129229302215	0.282100820002828	1.11430519088147
LIHC	-0.227274572761115	0.796701999587816	0.142227929548894	-1.59796021415741	0.11005183180295	0.602880551491694	1.05283554856218
LUAD	-0.147776944110937	0.862623506737408	0.117443398921004	-1.2582822488843	0.208289698546812	0.685256693267683	1.08589864453213
LUSC	-0.0358043985813076	0.964828996947787	0.10928351211825	-0.32762854969893	0.743192532817307	0.778803784234973	1.19528822560319
PAAD	-0.46899524896996	0.625630555538813	0.18078525451547	-2.5942118466848	0.00948080490657544	0.438968405934131	0.891666887029991
PCPG	0.158963064170048	1.17229464620535	1.04203549743041	0.152550526888998	0.87875274203452	0.152073856000274	9.03689019050876
PRAD	0.183921072217379	1.20192095439665	0.690049532819505	0.266533145042339	0.78982863624469	0.310816939319906	4.64779681499562
READ	0.171957154359822	1.18762694748694	0.377523716705982	0.455487024392015	0.648758900444507	0.566671372236527	2.48902244846141
SARC	-0.296722088619982	0.743250541445891	0.162681924281745	-1.82394012076042	0.0681611253198133	0.540331304259415	1.02237527791725
STAD	-0.370392691160843	0.690463138622061	0.145111641038022	-2.55246711091768	0.0106963007651912	0.519542697958224	0.917613408232641
THCA	-1.11928681698676	0.326512574827704	0.755261124358372	-1.48198653536901	0.138343877686423	0.0743054172326039	1.43476028385503
THYM	0.878082604470615	2.40628148698984	0.717500130061285	1.22380828613315	0.221024557746244	0.58967024249764	9.81937051818114
UCEC	-0.0362309450456104	0.964417540309408	0.163727999824073	-0.221287410122525	0.824868652274972	0.699680184264917	1.32932332939172
