	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0260910121341603	1.02643436220437	0.11311612566108	0.23065687568132	0.817581378350604	0.82233080950462	1.28119667624829
BRCA	0.134243877002519	1.14367170086318	0.127781094382451	1.05057698598764	0.29345291555956	0.890294950687049	1.46915913467317
CESC	0.259722701202841	1.29657049937161	0.193824489129583	1.33998909203471	0.180248891244623	0.886772939202722	1.8957446551675
CHOL	0.360056747561369	1.43341075481716	0.376508848037459	0.956303548875819	0.33891889747817	0.685307912476745	2.99816528398136
COAD	-0.227934822160456	0.796176151185783	0.168250790104069	-1.35473255144579	0.175502782859614	0.572524178570378	1.10719597083197
ESCA	-0.0237532213752305	0.976526665932939	0.226256083447471	-0.104983790991614	0.916388670552504	0.626750342035351	1.52150587773324
GBM	-0.292095527416255	0.74669720251178	0.180871509391749	-1.61493387432073	0.106325015581345	0.523825234806434	1.06439452548511
HNSC	-0.00943936127428164	0.990605049649584	0.102835571354847	-0.0917908185846507	0.926864238973223	0.809779429660685	1.21180944890443
KICH	0.470937849169733	1.60149545030937	0.51689014952126	0.911098517946051	0.362243467275767	0.581497720040637	4.41065818311785
KIRC	-0.533834297866284	0.586352404162346	0.126324630707249	-4.22589240813549	2.37995692572444e-05	0.457752779015415	0.751080403283331
KIRP	0.0308329582209139	1.0313132171028	0.223460716166259	0.137979322495206	0.890256759481723	0.665549677251341	1.59808799872539
LIHC	0.145930826496456	1.15711614350469	0.125002393907552	1.16742425432574	0.243039080972957	0.905679884678548	1.47835652774202
LUAD	0.0742768346828054	1.07710494423233	0.133725280565119	0.555443476124438	0.57859136208149	0.828763954970267	1.399861871323
LUSC	0.0881078640777371	1.09210591467256	0.11302997686935	0.77950882162508	0.435680043081707	0.875091506041262	1.36293784207586
PAAD	0.111623454900617	1.11809176939367	0.229030174862388	0.487374447352562	0.62599299834029	0.713717938220301	1.75157318856682
PCPG	0.795413458023106	2.2153567645036	0.479007767209559	1.66054396707752	0.0968050705856776	0.866386197727878	5.66468580282412
PRAD	0.895017456120238	2.44737851082299	0.639954901638765	1.39856332661618	0.161943970197815	0.69818504575618	8.57890270157671
READ	-0.275498151855349	0.759193835192778	0.360146814237592	-0.764960679823203	0.444294958972224	0.374796173952438	1.5378366148099
SARC	0.182768663381917	1.20053664786601	0.126741273162329	1.4420611283258	0.149285129721018	0.936468243567767	1.5390679318482
STAD	-0.246141907319864	0.781811272310876	0.169059774306145	-1.4559460305095	0.145407539553894	0.561303806098175	1.0889448082692
THCA	0.0965926368956069	1.10141160777014	0.523255733818118	0.184599289893653	0.853543342953654	0.394960406390173	3.07146617763096
THYM	-0.599108644961908	0.549301040194825	0.526769398816941	-1.13732621201503	0.255401940967028	0.195624613227611	1.54240117222902
UCEC	0.0171119944380752	1.0172592433232	0.143912522938674	0.118905527390186	0.905350202608738	0.767243262067915	1.34874611389533
