	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.365451000100479	0.693883638708246	0.181585789464108	-2.01255286098648	0.0441616903118118	0.48609431624886	0.99049605801295
BRCA	-0.0674522122548878	0.934772390213411	0.175962868229604	-0.383332079850354	0.70147355625379	0.662103694826293	1.31973198206444
CESC	-0.225408586161831	0.798190022726525	0.257105244705597	-0.87671718412411	0.380640270701633	0.482234096223956	1.32115774759379
CHOL	-0.239875718360147	0.786725630542431	0.493117521063882	-0.486447364195505	0.626650015917623	0.299282211433347	2.06807218774587
COAD	-0.00534907569598918	0.994665205134983	0.216847207318121	-0.0246674871313511	0.980320188695734	0.650273788183485	1.52144971592651
ESCA	-0.384716826904861	0.680643348801554	0.231042160587797	-1.66513689936979	0.0958854464960793	0.432769017339015	1.07049106961574
GBM	0.199605692755108	1.22092124514197	0.354746976836252	0.562670595632007	0.573659210520343	0.60915312538203	2.44708370478139
HNSC	-0.253432172476454	0.776132386277555	0.153561152775756	-1.65036643640296	0.0988680115394798	0.574413073439203	1.04869040918974
KICH	-1.75143700720421	0.173524408376593	0.857868919233225	-2.04161378030768	0.0411898572849991	0.0322954413833048	0.93235202903938
KIRC	0.914129292404001	2.49460223689518	0.182603282423832	5.0060945250823	5.5545487918996e-07	1.74409088204695	3.56807112770337
KIRP	-0.615801617439046	0.540207681798326	0.401293377750839	-1.53454218679231	0.124896323036656	0.246024984532893	1.18615733287407
LIHC	-0.0766136433261461	0.926247646444065	0.210353586007463	-0.364213630869255	0.715698489050851	0.613301208466264	1.39887985006369
LUAD	0.199995085163626	1.22139675518022	0.156776835955897	1.27566731363227	0.202073147800227	0.898272444016363	1.66075453332908
LUSC	0.207932285437748	1.23112980131071	0.13805827177867	1.50611971857142	0.132036443517936	0.939265628791458	1.61368684343911
PAAD	-0.593396248022516	0.552447845117974	0.205724448247981	-2.88442260060036	0.00392132138705043	0.369129127427527	0.826807203491179
PCPG	-1.37650020621719	0.252460568651702	1.26233910161204	-1.09043616288156	0.275521059315886	0.0212661349140544	2.99708146221806
PRAD	0.37564149188813	1.4559250792451	0.781228793123877	0.480834161764652	0.630634368549213	0.314887827635571	6.73166013526591
READ	0.745009785409701	2.10646204747403	0.388471762625531	1.91779649664744	0.0551368201746128	0.983752558642038	4.51046588745195
SARC	0.517840290751852	1.67839887898351	0.216291180267659	2.3941812611639	0.0166575144565695	1.09846897265874	2.56449919578046
STAD	-0.257697037736389	0.772829334767648	0.189845510550368	-1.35740390694159	0.174652907524137	0.532705041505955	1.12119303205567
THCA	-0.461741596026119	0.630185161254118	0.863037834146158	-0.535018950221274	0.592636753426746	0.116104495714753	3.42048199787682
THYM	-1.40569585546218	0.24519637583786	0.822282866073831	-1.70950400824231	0.0873576298865721	0.0489311702047825	1.22869047423977
UCEC	-0.294823946919268	0.744662676084524	0.224678871335696	-1.31220147745342	0.189452163497316	0.479416066956345	1.15666232188221
