	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.115121813971127	1.12201010575435	0.114863954657364	1.00224491063826	0.316225321996064	0.895827505898386	1.40530031632862
BRCA	-0.159665211785724	0.852429124424435	0.0955607225477432	-1.67082466026723	0.0947563161129727	0.706833045242033	1.02801562131011
CESC	-0.240735358836754	0.786049619951096	0.182514489201049	-1.31899313797258	0.187171406557148	0.549659004786192	1.12410421669632
CHOL	0.0348745938349938	1.03548984384664	0.38886999179696	0.0896818848732425	0.928540011703682	0.483213552793327	2.21897587621708
COAD	0.110442080142952	1.11677166392373	0.160986723991399	0.686032223059912	0.49269278888568	0.814577177588865	1.53107524204718
ESCA	-0.00748415619248652	0.992543780367167	0.165978649558061	-0.0450910777525545	0.964034713112659	0.716916192512413	1.37413991514565
GBM	0.125657412392986	1.13389364382495	0.198532175012739	0.632932230682123	0.526777899170869	0.768389509631496	1.67325917310248
HNSC	0.0805186460503277	1.08384905595788	0.0855899519750409	0.940748816798121	0.34683359583607	0.916462089251217	1.28180836924808
KICH	0.0318158667837924	1.03232740203878	0.586991077982323	0.054201619031679	0.956774530781894	0.326715503938325	3.26185887156829
KIRC	0.510826258558094	1.66666772465384	0.110341742335792	4.62949240916957	3.66563162633472e-06	1.34253607371159	2.06905524461874
KIRP	0.0974390883724899	1.10234429393329	0.246654161179485	0.395043359116839	0.692810888975139	0.679774479117394	1.78759718067826
LIHC	0.136910558256313	1.14672557879816	0.133085322484179	1.02874273211149	0.303600583890596	0.883440018163248	1.48847632667121
LUAD	0.104838806199821	1.11053158512079	0.0985864777253891	1.06341973685121	0.287591646154954	0.915406418128067	1.3472490219949
LUSC	0.0368084120078254	1.03749423035934	0.115898258524171	0.317592451142387	0.750794101021147	0.826671401761387	1.30208239420821
PAAD	0.150727152842591	1.16267938103562	0.217518891969875	0.692938215515853	0.488348325812378	0.759114967006456	1.78078868398057
PCPG	-0.0461079042735844	0.954938914641277	0.632333672067604	-0.0729170472969134	0.941872128273368	0.276523594829552	3.29775956825079
PRAD	-0.226629266200932	0.797216282531894	0.493639901380478	-0.459098354017081	0.646163538622065	0.302962666408145	2.09779577354844
READ	0.610464367816966	1.84128623435627	0.349863885843834	1.7448624808605	0.0810088096466744	0.927505784438907	3.65532490870757
SARC	0.0673028684513761	1.06961938308795	0.125072494513311	0.538110866927766	0.590500510583876	0.837080767902697	1.36675655270871
STAD	-0.0953187792940198	0.909083091406619	0.131117563831185	-0.72697186028215	0.467243194092898	0.70306601833415	1.17546865519054
THCA	-0.996950100180527	0.369003149340279	0.499120974197941	-1.99741175329802	0.0457804720881602	0.138732281759972	0.981482626074207
THYM	-0.0099974959545336	0.99005231288207	0.386800374228505	-0.0258466553308646	0.979379648691548	0.463887924179314	2.11301810448561
UCEC	-0.0342617782280209	0.966318510377406	0.134281948664708	-0.255148056523741	0.798608748377712	0.742710043542213	1.25724900533803
