	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0423222606334031	0.95856082437453	0.0968319262022116	-0.437069283792027	0.662061102588048	0.79285942054362	1.15889252270671
BRCA	0.0769709629167468	1.08001071557623	0.117356874128267	0.655870936308514	0.511907169748088	0.858091721482603	1.35932222227262
CESC	0.335654032291044	1.39885498243081	0.164216076670077	2.0439779045836	0.0409557300032315	1.01389204634951	1.92998383695471
CHOL	-0.152180778244157	0.858833008383335	0.32201666133759	-0.472586659373554	0.636508102056052	0.456885787672734	1.61439501116
COAD	-0.25471644208212	0.775136262826335	0.161834165502585	-1.57393490608787	0.115502499061032	0.564448812025519	1.06446539198529
ESCA	-0.0707666913543564	0.931679235593182	0.206292713272736	-0.343040189019168	0.731568226036156	0.621827236503206	1.39592823710452
GBM	-0.173778704777085	0.840482871924563	0.189312052938645	-0.917948445857305	0.358645856843507	0.579944128429227	1.21806812651396
HNSC	0.0906710592616642	1.09490878591186	0.0992019052899726	0.914005219926248	0.360714102866894	0.901440623787405	1.32989929434299
KICH	-0.0802334099760882	0.922900906966132	0.551024057599395	-0.145607816699755	0.884230996923596	0.313416996636224	2.71761293490892
KIRC	-0.291749250220095	0.74695581149806	0.07475875244975	-3.9025430556268	9.51872992155679e-05	0.645149173262438	0.864827868428131
KIRP	-0.00724818259909587	0.992778022125965	0.239283529969115	-0.0302911888671628	0.975834823615286	0.62111732643777	1.58683095651026
LIHC	-0.10331782298593	0.901840302350867	0.0950423894137723	-1.08707097562678	0.277005443769356	0.748564816829118	1.08650034393744
LUAD	0.0102827204209696	1.01033576926349	0.136769155146234	0.0751830367744487	0.940069080844894	0.772765300685159	1.32094229094938
LUSC	0.0236006634554025	1.02388136299516	0.140252272279438	0.168272948964283	0.866368553992651	0.777797758615639	1.3478221476939
PAAD	0.386608983677561	1.47198081020702	0.18503794362552	2.08934976309498	0.0366762498920657	1.02423017168839	2.11546932077382
PCPG	0.743694928528727	2.1036941714356	0.724157747765559	1.02697917798084	0.30443026882153	0.508836681090077	8.69734697084203
PRAD	0.199317936204665	1.22056996759974	0.386385177062471	0.515852957196748	0.60595711231921	0.572362300860741	2.6028811533639
READ	-0.039954284453507	0.960833363170596	0.315092486898059	-0.126801768099388	0.899097296294983	0.518132534897816	1.78178494806119
SARC	-0.213469974942551	0.807776413319675	0.127643510737076	-1.67239191173818	0.0944470659900433	0.628985761761281	1.03738871940196
STAD	-0.031509746711031	0.968981512024922	0.166135938428883	-0.189662435527272	0.849573658560492	0.699681391488668	1.34193245964197
THCA	-0.191171756785003	0.825990706458788	0.352015805959911	-0.543077195819935	0.587076652943892	0.414322733862762	1.64668890069227
THYM	-0.512109538971251	0.599230145196743	0.287824738936034	-1.77924087020561	0.0752002804653178	0.340876287375112	1.053393211002
UCEC	-0.119083825636086	0.887733382827438	0.117328647664449	-1.0149595005702	0.31012513328611	0.705362270409489	1.11725646812487
