	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0188755221316067	1.01905479095393	0.115880993939134	0.162887126611297	0.870607306933021	0.812006403732242	1.27889713947206
BRCA	0.0449748673787252	1.04600157081703	0.134768199858217	0.333720176021056	0.738590723310584	0.803188417489718	1.36221995029666
CESC	0.161797322678653	1.17562194526643	0.180402132656136	0.89687034347346	0.369788106665306	0.825484856803978	1.67427294007916
CHOL	-0.159628421845214	0.8524604858181	0.434577430090687	-0.367318711908032	0.71338129807041	0.363715055190194	1.99796205714177
COAD	0.0885590159622497	1.09259873147331	0.17932738246298	0.493839896316624	0.621419254541832	0.768806324343198	1.55276036397976
ESCA	-0.514287398158647	0.597926526384028	0.295080972616874	-1.74286872378717	0.0813565483969363	0.335331569477862	1.06615709195036
GBM	-0.119310964536406	0.887531766941357	0.143872724365397	-0.829281332251619	0.40694523164484	0.669451657954228	1.17665350137038
HNSC	-0.0145550782064548	0.985550334892651	0.0895751003830087	-0.16249022489754	0.870919825385696	0.826860691253857	1.17469541469448
KICH	-1.12936494129494	0.323238466657145	0.848609002914521	-1.33084251689078	0.183240834817228	0.061261234622814	1.70553380078226
KIRC	-0.389993859982473	0.677061031652004	0.118598120285028	-3.28836459671702	0.00100771244691319	0.536632431267798	0.854237675309103
KIRP	0.191088415285793	1.21056647993108	0.239428370645853	0.798102642432625	0.424810928152162	0.757158575924917	1.93548782108497
LIHC	0.0472711042702231	1.0484061979527	0.117557006574808	0.402112180698834	0.687601468772221	0.832654578281257	1.32006186547906
LUAD	0.0502322584973173	1.05151529137823	0.131829671132569	0.381039094353831	0.703174239751154	0.812085905864898	1.36153626114794
LUSC	-0.0878902701540484	0.915861368536632	0.120611562356491	-0.728705179145854	0.466182024040772	0.723044442969574	1.16009749405278
PAAD	0.312671660039685	1.3670725927686	0.19829567460965	1.57679516033412	0.114842665610382	0.926834075298308	2.01642076365992
PCPG	-0.354813570574967	0.701304174756163	0.76916518015891	-0.461296974599997	0.644585555227267	0.155307287930807	3.16680274366483
PRAD	0.0333779032294006	1.03394119513825	0.395295821693458	0.084437784053494	0.932708367206703	0.47645229776142	2.24373856528071
READ	-0.679390574035262	0.506925832012806	0.357637618878983	-1.89966194318376	0.0574774976286782	0.251491163171486	1.02180051148219
SARC	-0.0267917897272196	0.973563926433756	0.140998207107944	-0.190015109246805	0.849297290761167	0.738493338366568	1.2834600796123
STAD	-0.155052125884823	0.856370537248177	0.214312274314873	-0.723486913572747	0.469380791151471	0.562650590107229	1.30342082628398
THCA	0.258105247457875	1.29447505166349	0.475388398481402	0.542935520265905	0.58717419857764	0.509849909215125	3.28658616799356
THYM	-0.493093641441169	0.610734076369041	0.528535053166448	-0.932944065842086	0.350848848818709	0.216751593791827	1.72084599477768
UCEC	-0.188459417100753	0.82823411489825	0.155341663261689	-1.2131929911377	0.225056043193255	0.610838007140771	1.12300109204436
