	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.397803279349969	1.48855117234843	0.190743086457888	2.0855449428716	0.0370198630447762	1.02424289392939	2.1633389949129
BRCA	0.029510404151194	1.02995015117324	0.138676360973721	0.212800537481555	0.831482544495943	0.784828333256353	1.35162973729606
CESC	-0.0516098200912357	0.949699348166026	0.276944526552106	-0.18635436032539	0.852166880614653	0.551887466872919	1.63426224736982
CHOL	1.03477724012405	2.81447921274858	0.758934077764644	1.36346129451963	0.17273717487881	0.635904923013143	12.456725765638
COAD	-0.0187863831657802	0.981388981060227	0.265190414051282	-0.0708411095212034	0.943524213327711	0.583593824717097	1.65033331634946
ESCA	0.177954101553523	1.19477048186728	0.276250069983214	0.644177579988798	0.519460287564779	0.695248400598554	2.05318919556293
GBM	0.277720282281989	1.32011688547727	0.239078445946939	1.16162827302143	0.245386492481307	0.826244238217293	2.10919303362682
HNSC	-0.0424252886746968	0.958462070817614	0.16512830224267	-0.25692318093569	0.797238075299238	0.693453693311511	1.32474532914964
KICH	0.883376516560051	2.41905390785156	0.847674279972554	1.04211787172386	0.297357033703506	0.459307874694038	12.7405214051469
KIRC	0.932406802277864	2.54061658679477	0.176213999756149	5.29133215049972	1.21428603639886e-07	1.79864518982754	3.58866366618735
KIRP	1.22373198267768	3.39985227679815	0.406460472282197	3.01070353977267	0.00260643194075625	1.53278155689572	7.54118905727152
LIHC	0.472679875678505	1.60428772924331	0.148129699790695	3.19098652293492	0.00141787893986215	1.20003533122498	2.14471945219598
LUAD	0.291018403709587	1.33778920400748	0.152782468934921	1.90478924537834	0.0568074724300011	0.991605697699531	1.80483024503685
LUSC	-0.0168864021686952	0.983255373969058	0.121182034991904	-0.139347405494744	0.88917563109725	0.775382497418394	1.24685704624224
PAAD	-0.685499281729143	0.503838609353276	0.303035215381499	-2.2621109591707	0.0236905486732267	0.278193771051713	0.912505493258708
PCPG	0.530585845475215	1.69992791203065	0.673577365867734	0.787713293767954	0.430864427860584	0.454025673751204	6.36473898540905
PRAD	1.08729548566861	2.96624097342066	1.1404204766964	0.953416312567732	0.34037917955864	0.317306347492819	27.7289930753708
READ	-0.0423659899575377	0.958518908074031	0.518094258156006	-0.0817727455778531	0.934827429350596	0.347214658973883	2.64608210912126
SARC	0.27859830490895	1.32127648697664	0.223655552244008	1.24565789721598	0.212890016881498	0.85234958742305	2.0481872471076
STAD	-0.18716753511345	0.829304787074697	0.192064299834197	-0.974504555375601	0.329806078405848	0.56915262589713	1.20836907109221
THCA	-2.13671702073308	0.118041736165665	1.20976981019628	-1.76621783972805	0.0773593092205204	0.0110224378600659	1.26413518079214
THYM	-2.33003144245873	0.0972926879201144	1.56791186968837	-1.48607296590072	0.137259822087829	0.00450268119745347	2.10227344722391
UCEC	0.376288044121105	1.45686671523175	0.23173963948628	1.62375347159105	0.10442843390587	0.925044621603085	2.29444134518828
