	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.306380358500914	1.35849892490614	0.201110263814379	1.52344466508033	0.127647494694061	0.915954566438021	2.0148590296875
BRCA	-0.00417651993628247	0.995832189593712	0.181600215354243	-0.0229984305257317	0.981651524878195	0.697602096132132	1.42155786992242
CESC	0.0692601426242236	1.07171497163291	0.316099583990628	0.21910861681576	0.826565438610447	0.576786177433892	1.99133236086223
CHOL	-0.339116729453167	0.712399286256389	1.1240990036746	-0.301678702983116	0.762897004872337	0.0786844057114799	6.44997872792687
COAD	0.103125177380128	1.10863017581154	0.253515481077954	0.406780591629502	0.684169142687508	0.674518595060042	1.82213044343205
ESCA	-0.221058720048882	0.80166960482969	0.307116705756147	-0.719787350885445	0.471655934177	0.439113919265981	1.46357044746402
GBM	-0.0861320856459747	0.917473038197483	0.209362169805841	-0.41140233560749	0.680777541584183	0.608672819285921	1.38293800733019
HNSC	-0.0893915910938763	0.914487398329263	0.180085405040792	-0.496384429785565	0.619623208263282	0.642523106705716	1.30156751247556
KICH	-1.00824454960792	0.36485890944025	0.970724866713458	-1.03865120198424	0.29896698366752	0.0544305159592359	2.44572408421824
KIRC	0.306380696162811	1.35849938361954	0.233349927559933	1.312966750693	0.189194152274645	0.859867683772882	2.14628437621589
KIRP	-0.459732180694161	0.631452738096773	0.519496615161995	-0.884957028162353	0.376179808354772	0.22811010806252	1.74798286597904
LIHC	-0.195066391620324	0.822780030543236	0.194250033397985	-1.00420261560865	0.315280961644546	0.562260810522142	1.20400882649471
LUAD	0.0485178951144471	1.04971415640721	0.154165905651514	0.314712224531149	0.752980161730807	0.775969760794498	1.42002931793824
LUSC	0.100662372437982	1.1059031953244	0.136662909447702	0.736574194452544	0.461381332725426	0.846037149753395	1.44558885834412
PAAD	0.660916299854258	1.93656599681527	0.305845055506266	2.16095139664835	0.0306990940578886	1.06339966409775	3.52669648734851
PCPG	-0.436407099057546	0.646354542043211	1.25136936559572	-0.34874363321959	0.72728178374942	0.0556292583409461	7.50997238646241
PRAD	1.13610239455882	3.11460517484904	1.05214435662583	1.07979707100482	0.280232555781615	0.396110268387634	24.4900629177915
READ	-0.247095825355158	0.781065844033287	0.502505880038763	-0.491727231800944	0.622912184554536	0.291711711948613	2.09132450884557
SARC	0.589529375698359	1.80313961435856	0.238450165556091	2.47233787539427	0.0134232583082322	1.12995254820185	2.87738850099776
STAD	-0.311590489829766	0.732281343493056	0.180839794912293	-1.72301948241473	0.084885001942902	0.513744111607062	1.04378026708778
THCA	-1.60876051131561	0.200135526121288	0.783481794880786	-2.05334766146085	0.0400388714868383	0.0430946417121598	0.929448006166918
THYM	-2.63948283325417	0.0713981847767801	0.726620365090559	-3.63254728337433	0.000280637131230174	0.0171864743543435	0.296611200431047
UCEC	0.316997549971296	1.37299920803387	0.203481456596073	1.55786947505768	0.119264192541999	0.921438929973831	2.04585107481314
