	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.110078316931485	1.11636549735549	0.115189941568869	0.955624383798059	0.339262037746859	0.890751473810712	1.39912417809888
BRCA	0.0129241476688398	1.01300802542531	0.13620857473875	0.0948849783769378	0.924406188200725	0.775660966424442	1.32298169431742
CESC	0.242641114939697	1.27461110314204	0.158902566194483	1.52698046828725	0.126765868262326	0.933511317960655	1.74034683136153
CHOL	0.122760072865579	1.1306131236361	0.36977505336656	0.331985816100704	0.7398999693129	0.547722934365096	2.33381871588039
COAD	0.275554757306256	1.31726123250077	0.222560627711716	1.23811098189022	0.215674912429052	0.851584917086151	2.03758558874747
ESCA	-0.361936871784041	0.696326324292888	0.317110733462793	-1.14135799766774	0.253720976021018	0.374013835669853	1.29639682723193
GBM	-0.228696740297016	0.795569761175406	0.227060871386106	-1.00720453903362	0.31383649227789	0.509804545666269	1.24151746051913
HNSC	0.115764203150424	1.12273110446144	0.108109010448964	1.07080994146249	0.284254895935135	0.908349953096052	1.38770870040647
KICH	-1.11503644483756	0.327903328298285	0.761304029771631	-1.46464014537273	0.143019123023217	0.0737433155503653	1.45803849347753
KIRC	-0.342672364184821	0.709870752546433	0.107266689599397	-3.19458319693262	0.00140032917011817	0.575272629357027	0.875961169722361
KIRP	0.262821778140473	1.30059490385282	0.218486212213843	1.20292157329926	0.22900667113551	0.847551792994267	1.99580381743039
LIHC	-0.0946537133207202	0.909687892731714	0.0861992517768766	-1.09808045162303	0.272169360569576	0.768279912913767	1.07712312696577
LUAD	-0.0693793646399737	0.932972676090779	0.150342791363604	-0.461474501109797	0.644458211468015	0.694859354829695	1.25268229934866
LUSC	-0.00355913764004684	0.996447188582799	0.159284562100619	-0.0223445234937367	0.982173133124465	0.729240904547216	1.36156240474615
PAAD	0.21940827832094	1.24533961807635	0.199291145209547	1.10094343675049	0.27092127567471	0.842657080255305	1.84045301545521
PCPG	1.23149556709595	3.42635004268787	0.855764597810615	1.43905879052091	0.150133866486093	0.640329607260155	18.3341118104156
PRAD	0.0621946349476	1.06416944913747	0.40080800411857	0.155173136036478	0.876684826077637	0.485112421576653	2.33442098389684
READ	-0.406417965569562	0.666031730908745	0.288149376134269	-1.410441941683	0.158409228342916	0.37863584574515	1.17156965343391
SARC	0.0891828968885353	1.09328059566087	0.120792135677421	0.738317079902458	0.460321789813428	0.862806061892104	1.38531996197086
STAD	0.0744477902684112	1.07728909707936	0.165124346061076	0.450858955958405	0.652091206770836	0.779431882083499	1.48897142311371
THCA	0.189658827346668	1.20883710513306	0.451983318632947	0.41961466170987	0.674766975857418	0.498469837073108	2.93154577883148
THYM	-0.185064108286625	0.831051004888311	0.310033701578945	-0.596916100875898	0.550563396999509	0.452612468581071	1.5259097366253
UCEC	0.099770962293598	1.10491782124885	0.140020530950994	0.712545236159096	0.476127209861296	0.839738927988732	1.4538368426451
