	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.273596901832647	0.76063862550777	0.128362971631097	-2.13143166098507	0.0330535968546365	0.591446703747295	0.978230354398175
BRCA	-0.773973582742961	0.461176898076396	0.181339577753718	-4.26808969299638	1.97154059575126e-05	0.323229518629675	0.6579972405399
CESC	-0.260411063202731	0.770734700003743	0.17776890268982	-1.46488536106401	0.142952197401142	0.543986031390978	1.09199858729996
CHOL	-0.0375276843486673	0.963167752679831	0.531531654515788	-0.0706029152353195	0.943713790183052	0.339829729009815	2.72987334717711
COAD	0.090019130945775	1.09419521649433	0.244558481703209	0.368088362009952	0.712807348417975	0.677526450740961	1.76710912244049
ESCA	-0.444864951931616	0.640910823956904	0.280428994180483	-1.58637288284571	0.112654748046487	0.369909950220989	1.11045048671905
GBM	0.236203006050566	1.26643137730512	0.180126808358288	1.31131511296607	0.189751324533124	0.889728382549619	1.80262703188915
HNSC	0.0517258916744206	1.05308704302165	0.108225857581908	0.477943929760717	0.632690113374685	0.851809054776629	1.30192595859515
KICH	-2.78977327120401	0.0614351414517065	0.769894814155847	-3.62357716912649	0.000290556461016101	0.0135856746107652	0.277812969420045
KIRC	0.310090040252342	1.36354788280048	0.198274995332228	1.56393921347852	0.117831844368708	0.924481897100169	2.01114033116456
KIRP	0.388960027428381	1.47544557280047	0.422052512846579	0.921591545101812	0.356741670311495	0.645165957175339	3.3742320314413
LIHC	-0.0946739078768976	0.909669522173953	0.144474038861564	-0.655300485975996	0.512274307980879	0.685341639848865	1.2074250147046
LUAD	-0.02277567227515	0.977481735434037	0.165815776197836	-0.137355279439613	0.890749977771203	0.706262271080308	1.35285513927515
LUSC	-0.052917579894484	0.948458181284292	0.122786201301784	-0.43097334499683	0.666487751826054	0.745593963174345	1.20651851554055
PAAD	0.56731309773447	1.76352226792651	0.269332270464796	2.10636882374117	0.0351723272114329	1.04021929109588	2.98976457761732
PCPG	-1.48982809168564	0.225411402303106	0.998659366717107	-1.49182808607018	0.135744219033739	0.0318357794016003	1.59601245024642
PRAD	-0.195374455321871	0.822526600919706	0.66345870926444	-0.29447869565007	0.768392140492931	0.224085045738026	3.0191662589188
READ	1.56710035537665	4.79273080966914	0.677185110451154	2.31413882436461	0.0206601083612363	1.27104821733963	18.0719097045979
SARC	-0.69975708359969	0.496705947158387	0.154411876459486	-4.53175688065217	5.84951485987045e-06	0.366998029465597	0.672256464978206
STAD	-0.294949444279353	0.744569228748341	0.173609892376683	-1.69892072532018	0.0893341214049506	0.529819667307468	1.04636232025184
THCA	-1.06449270744303	0.344902777006749	0.538006993276305	-1.97858526143049	0.0478627204039947	0.120155680718681	0.990031639581664
THYM	0.714810480160146	2.0437993050349	0.780929286323141	0.915333171234615	0.360016750081775	0.442292966867617	9.44422794882782
UCEC	-0.51219447906529	0.599179248693466	0.165948597306898	-3.08646464855657	0.00202552030226113	0.43281376255686	0.829492504914746
