	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.00194426710777953	0.998057621755164	0.0853722554650943	-0.0227739925247082	0.98183055360184	0.844280230278586	1.1798440619827
BRCA	-0.204691660937126	0.814898542730983	0.0893978883197074	-2.28966997749546	0.0220404550600862	0.683924120580126	0.970955132247425
CESC	-0.337778927096858	0.713352973480448	0.153969765343004	-2.1938003629763	0.0282497647271634	0.527527584621815	0.96463669314697
CHOL	-0.160033125133827	0.852115562056675	0.296414787548761	-0.539895888654005	0.589268833382083	0.47663921678707	1.52337639356171
COAD	0.0713155825673538	1.07392008285375	0.136342357630129	0.523062559625229	0.600930719001325	0.822085785084159	1.40290023897996
ESCA	-0.0871338115936396	0.916554441816567	0.188884705520585	-0.461306866289094	0.644578459421759	0.63296444234623	1.32720258613542
GBM	-0.0610220657482244	0.940802480036318	0.162124655442148	-0.376389794518324	0.706627131941543	0.684695851712644	1.29270435073988
HNSC	-0.146833560189738	0.86343767586036	0.0814763120953769	-1.80216257232965	0.0715198313840694	0.736000708594232	1.01294008468973
KICH	-1.26629019783342	0.281875386420384	0.409363122924556	-3.0933177096824	0.00197932110904751	0.126359131617116	0.628792968523992
KIRC	0.127253459992039	1.13570483704357	0.0854922314392674	1.48847980512052	0.136624404084637	0.960493336253382	1.3428781108627
KIRP	0.0649471245913842	1.06710259940648	0.17976378812231	0.36129147738695	0.717881564128692	0.750224018398712	1.51782391623577
LIHC	-0.238091894482977	0.788130262942916	0.102896193768781	-2.31390380695708	0.0206729992519885	0.644187962378037	0.964236135480522
LUAD	-0.0620130987749057	0.939870575557348	0.0896691739081776	-0.691576559391614	0.489203286456986	0.788390739149411	1.12045544795662
LUSC	0.167363022687673	1.18218334679637	0.0958968917581165	1.74523928376968	0.0809432257864878	0.979619124443894	1.42663350537998
PAAD	-0.252048674355393	0.777206907103044	0.123183415335649	-2.04612507023461	0.0407440669973313	0.610495881291195	0.989442508884936
PCPG	-0.798424555289929	0.450037414972865	0.508828740138162	-1.56914201637497	0.116614851399112	0.166009450709766	1.22001292100863
PRAD	-0.182770091814732	0.832959637963347	0.369445661632957	-0.494714408086117	0.620801729621446	0.403785984443565	1.71829084021365
READ	0.501350097636981	1.65094870868278	0.272896510755137	1.83714367123891	0.0661886886310382	0.967038244232245	2.81853551807072
SARC	-0.222487160922783	0.800525284690193	0.124104208308784	-1.79274469379163	0.0730137565044427	0.627678654872555	1.02096945061551
STAD	-0.005644208244964	0.994371690372626	0.121765414543297	-0.0463531312740453	0.963028792153684	0.78325259556746	1.26239614679879
THCA	0.137220278224957	1.14708079761481	0.263900222565603	0.519970301240822	0.603084274844189	0.68385138831186	1.92409400455378
THYM	-0.448252683900684	0.638743263499234	0.430966783565996	-1.04010958847375	0.298288989414935	0.274464855217714	1.48650345903857
UCEC	-0.00561576443713112	0.994399974492153	0.116148059627138	-0.0483500495415852	0.961437267400491	0.791946232143043	1.24860914685353
