	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0235072345561136	1.02378570735499	0.12109580072663	0.194120972115131	0.846081160595537	0.807480660879684	1.29803378008148
BRCA	0.117725236847603	1.12493497821923	0.169931764499958	0.692779464710567	0.488447961227118	0.806271373543889	1.5695443826299
CESC	0.153602847563557	1.16602770406383	0.248777927992836	0.617429563799487	0.536951427006079	0.716058843706414	1.89875541457848
CHOL	0.719062830454388	2.05250876031435	0.596196027780761	1.20608457109481	0.227784883260643	0.637972620125676	6.60340597428344
COAD	-0.428893825159049	0.651229069653371	0.243662859460994	-1.76019367952836	0.0783749732801802	0.403949966465598	1.04988076833449
ESCA	-0.186781994442407	0.829624579441326	0.245139001490376	-0.761943196744809	0.446093907106445	0.513119966374036	1.34135677408328
GBM	-0.122607839577005	0.884610503777024	0.152831535262265	-0.802241758329556	0.422413125325848	0.655634280725096	1.19355525847001
HNSC	0.245225795863535	1.277909827384	0.154267778271395	1.58961125007013	0.111922459628939	0.944467980592216	1.72907240952798
KICH	1.34634568957567	3.84335502502495	0.804240881458975	1.67405776131805	0.0941192479465147	0.794583283876045	18.5900938871109
KIRC	0.49145338572739	1.63469032988288	0.235756555189137	2.08457994024013	0.0371074469204101	1.02981484962488	2.59484748698855
KIRP	-0.0330968226100764	0.967444884515349	0.446906860824344	-0.0740575397500668	0.940964600811348	0.402919626750401	2.32291887124852
LIHC	0.572664798339094	1.772985410481	0.157660738314638	3.63226003163987	0.000280949800115917	1.30167959858471	2.41493933622093
LUAD	0.235658979430219	1.26574259229871	0.158598313138582	1.48588578760167	0.137309333486957	0.92756908478575	1.72720753228758
LUSC	0.105564920055908	1.11133825032232	0.129323305667693	0.816286898257657	0.414336066030304	0.862513824831933	1.43194540315934
PAAD	0.55322212000024	1.73884677411913	0.241482354868701	2.2909422110822	0.0219667562027124	1.08320625915907	2.79133182466266
PCPG	0.171502366047176	1.18708695143269	0.833467369790593	0.205769742479859	0.836970777406172	0.231757511951402	6.08038729099431
PRAD	-0.00751500530550671	0.99251316174419	0.904767527757582	-0.00830600687464133	0.99337284155389	0.168498779238437	5.84622856431198
READ	-0.648797879321234	0.522673716138359	0.42397171821175	-1.53028575127079	0.125946013639624	0.227690693734288	1.19981984797625
SARC	0.863413572766405	2.37124129871247	0.16770800375143	5.1483146507791	2.62837326637372e-07	1.70695644078728	3.29404146606476
STAD	0.0413813637445749	1.04224950593798	0.164394018706668	0.251720616541485	0.801257020318589	0.75516048289552	1.43848103447205
THCA	-0.651179563536718	0.521430353634947	1.18982868164055	-0.547288507652095	0.584180538025907	0.0506305096277075	5.37007459911237
THYM	-0.686279469979608	0.503445673691953	0.72183598283553	-0.950741562208843	0.341735584155358	0.122327671940472	2.07195593882049
UCEC	-0.0168080330606424	0.983332433835221	0.21636833243835	-0.0776825003512543	0.938080614731781	0.643468520692822	1.50270393086393
